Everest Group Price to Free Cash Flow Ratio Historical Data,Everest Group Price to Free Cash Flow Ratio Historical Data,Everest Group Price to Free Cash Flow Ratio Historical Data,Everest Group Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-06-21,377.19,,3.48
2024-03-31,397.5,$108.44,3.67
2023-12-31,351.99,$110.24,3.19
2023-09-30,368.41,$108.58,3.39
2023-06-30,337.33,$108.10,3.12
2023-03-31,351.62,$100.92,3.48
2022-12-31,323.77,$95.23,3.4
2022-09-30,255.21,$95.41,2.68
2022-06-30,270.92,$96.54,2.81
2022-03-31,289.58,$96.50,3.0
2021-12-31,261.74,$97.53,2.68
2021-09-30,238.18,$87.67,2.72
2021-06-30,238.0,$85.04,2.8
2021-03-31,232.61,$82.13,2.83
2020-12-31,218.4,$71.85,3.04
2020-09-30,183.07,$64.40,2.84
2020-06-30,189.75,$52.65,3.6
2020-03-31,175.73,$47.01,3.74
2019-12-31,251.2,$45.82,5.48
2019-09-30,240.05,$38.42,6.25
2019-06-30,221.7,$32.90,6.74
2019-03-31,192.6,$21.59,8.92
2018-12-31,194.2,$15.03,12.92
2018-09-30,202.43,$16.33,12.39
2018-06-30,203.02,$16.21,12.53
2018-03-31,224.92,$23.92,9.4
2017-12-31,192.8,$28.47,6.77
2017-09-30,197.87,$35.56,5.56
2017-06-30,219.46,$32.46,6.76
2017-03-31,200.54,$33.75,5.94
2016-12-31,184.61,$33.24,5.55
2016-09-30,161.1,$30.18,5.34
2016-06-30,153.99,$29.57,5.21
2016-03-31,165.37,$26.26,6.3
2015-12-31,152.45,$25.31,6.02
2015-09-30,143.44,$20.95,6.85
2015-06-30,149.78,$22.18,6.75
2015-03-31,142.44,$23.09,6.17
2014-12-31,138.67,$23.03,6.02
2014-09-30,131.2,$25.73,5.1
2014-06-30,129.37,$26.33,4.91
2014-03-31,122.79,$25.11,4.89
2013-12-31,124.43,$22.39,5.56
2013-09-30,115.52,$21.13,5.47
2013-06-30,101.55,$16.42,6.18
2013-03-31,102.43,$15.33,6.68
2012-12-31,86.4,$13.34,6.48
2012-09-30,83.66,$12.45,6.72
2012-06-30,80.57,$12.90,6.24
2012-03-31,71.69,$12.96,5.53
2011-12-31,64.81,$13.31,4.87
2011-09-30,60.84,$12.11,5.02
2011-06-30,62.29,$13.91,4.48
2011-03-31,66.83,$15.05,4.44
2010-12-31,63.93,$16.17,3.95
2010-09-30,64.8,$17.24,3.76
2010-06-30,52.68,$16.79,3.14
2010-03-31,59.89,$14.55,4.12
2009-12-31,63.04,$12.90,4.89
