Equity Residential Price to Free Cash Flow Ratio Historical Data,Equity Residential Price to Free Cash Flow Ratio Historical Data,Equity Residential Price to Free Cash Flow Ratio Historical Data,Equity Residential Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-06-21,68.31,,20.59
2024-03-31,63.11,$3.32,19.02
2023-12-31,60.5,$3.03,19.99
2023-09-30,57.46,$2.53,22.7
2023-06-30,63.85,$3.96,16.13
2023-03-31,57.46,$5.10,11.27
2022-12-31,55.84,$4.44,12.59
2022-09-30,62.96,$4.40,14.32
2022-06-30,67.03,$2.78,24.11
2022-03-31,82.73,$2.16,38.34
2021-12-31,82.69,$2.31,35.79
2021-09-30,73.44,$3.02,24.36
2021-06-30,69.37,$3.21,21.59
2021-03-31,64.04,$4.00,16.03
2020-12-31,52.57,$5.04,10.43
2020-09-30,45.06,$4.45,10.13
2020-06-30,51.02,$4.09,12.47
2020-03-31,53.0,$3.22,16.46
2019-12-31,68.74,$1.61,42.58
2019-09-30,72.77,$1.50,48.42
2019-06-30,63.63,$1.66,38.28
2019-03-31,62.66,$1.34,46.89
2018-12-31,54.5,$2.59,21.07
2018-09-30,54.7,$2.62,20.86
2018-06-30,52.16,$2.03,25.72
2018-03-31,50.04,$2.55,19.65
2017-12-31,51.31,$1.84,27.91
2017-09-30,52.63,$2.52,20.9
2017-06-30,52.16,$3.36,15.53
2017-03-31,48.93,$3.07,15.92
2016-12-31,50.21,$18.56,2.71
2016-09-30,49.79,$17.17,2.9
2016-06-30,50.56,$17.06,2.96
2016-03-31,54.65,$17.14,3.19
2015-12-31,52.86,$1.81,29.16
2015-09-30,48.34,$2.83,17.06
2015-06-30,44.81,$2.87,15.63
2015-03-31,49.34,$2.43,20.29
2014-12-31,45.21,$1.73,26.07
2014-09-30,38.49,$1.21,31.81
2014-06-30,39.06,$3.01,12.98
2014-03-31,35.67,$4.57,7.8
2013-12-31,31.63,$13.53,2.34
2013-09-30,32.26,$14.54,2.22
2013-06-30,34.72,$12.75,2.72
2013-03-31,32.68,$11.27,2.9
2012-12-31,33.39,$2.84,11.74
2012-09-30,33.43,$-0.30,0.0
2012-06-30,36.03,$-0.32,0.0
2012-03-31,35.98,$1.73,20.78
2011-12-31,32.59,$1.99,16.37
2011-09-30,29.34,$5.70,5.15
2011-06-30,33.74,$4.15,8.13
2011-03-31,31.54,$1.73,18.27
2010-12-31,28.87,$-0.22,0.0
2010-09-30,26.19,$-1.81,0.0
2010-06-30,22.77,$0.57,39.88
2010-03-31,21.25,$1.75,12.18
2009-12-31,18.18,$3.38,5.37
