Teleflex Price to Free Cash Flow Ratio Historical Data,Teleflex Price to Free Cash Flow Ratio Historical Data,Teleflex Price to Free Cash Flow Ratio Historical Data,Teleflex Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-06-21,203.4,,22.9
2023-12-31,248.56,$8.88,27.98
2023-09-30,195.48,$7.78,25.14
2023-06-30,240.53,$6.88,34.96
2023-03-31,251.39,$5.86,42.9
2022-12-31,247.38,$5.57,44.4
2022-09-30,199.33,$8.17,24.41
2022-06-30,242.92,$12.14,20.02
2022-03-31,350.18,$13.27,26.38
2021-12-31,323.86,$15.13,21.41
2021-09-30,370.88,$13.21,28.07
2024-03-31,225.81,$9.93,22.74
2021-06-30,395.38,$10.12,39.05
2021-03-31,408.47,$9.91,41.23
2020-12-31,404.3,$7.33,55.18
2020-09-30,334.09,$6.77,49.35
2020-06-30,356.89,$7.25,49.24
2020-03-31,286.86,$5.95,48.19
2019-12-31,368.36,$7.41,49.74
2019-09-30,332.13,$6.71,49.5
2019-06-30,323.42,$6.60,49.03
2019-03-31,294.77,$6.85,43.03
2018-12-31,251.86,$7.57,33.27
2018-09-30,258.93,$7.06,36.69
2018-06-30,260.61,$7.20,36.22
2018-03-31,247.44,$7.33,33.76
2017-12-31,241.12,$7.62,31.66
2017-09-30,234.18,$7.54,31.07
2017-06-30,200.73,$7.56,26.55
2017-03-31,186.85,$8.08,23.13
2016-12-31,155.16,$7.50,20.68
2016-09-30,161.42,$8.13,19.85
2016-06-30,169.99,$6.92,24.57
2016-03-31,150.22,$5.68,26.44
2015-12-31,125.47,$5.04,24.92
2015-09-30,118.25,$3.95,29.96
2015-06-30,128.62,$4.41,29.2
2015-03-31,114.43,$4.73,24.19
2014-12-31,108.44,$4.79,22.63
2014-09-30,98.91,$5.52,17.93
2014-06-30,99.12,$5.41,18.33
2014-03-31,100.33,$4.73,21.21
2013-12-31,87.52,$3.84,22.8
2013-09-30,76.45,$2.80,27.31
2013-06-30,71.69,$2.14,33.51
2013-03-31,77.85,$2.60,29.9
2012-12-31,65.41,$3.16,20.68
2012-09-30,62.83,$2.66,23.64
2012-06-30,55.29,$2.14,25.9
2012-03-31,55.2,$1.50,36.69
2011-12-31,55.01,$1.22,45.09
2011-09-30,47.98,$1.59,30.09
2011-06-30,54.13,$1.76,30.77
2011-03-31,51.12,$2.19,23.35
2010-12-31,47.17,$2.84,16.59
2010-09-30,49.46,$3.14,15.77
2010-06-30,46.98,$5.04,9.33
2010-03-31,55.14,$3.39,16.26
2009-12-31,46.12,$2.35,19.65
