Hilton Worldwide Holdings Price to Free Cash Flow Ratio Historical Data,Hilton Worldwide Holdings Price to Free Cash Flow Ratio Historical Data,Hilton Worldwide Holdings Price to Free Cash Flow Ratio Historical Data,Hilton Worldwide Holdings Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-06-21,215.88,,32.14
2024-03-31,213.15,$6.72,31.73
2023-12-31,181.82,$6.45,28.17
2023-09-30,149.83,$6.54,22.9
2023-06-30,145.06,$6.49,22.34
2023-03-31,140.25,$6.05,23.18
2022-12-31,125.67,$5.70,22.05
2022-09-30,119.83,$4.50,26.62
2022-06-30,110.59,$3.04,36.36
2022-03-31,150.41,$1.42,105.58
2021-12-31,154.63,$0.13,1207.07
2021-09-30,130.95,$-0.79,0.0
2021-06-30,119.57,$-2.12,0.0
2021-03-31,119.86,$1.21,98.9
2020-12-31,110.29,$2.22,49.59
2020-09-30,84.57,$3.24,26.09
2020-06-30,72.81,$5.75,12.66
2020-03-31,67.64,$3.74,18.06
2019-12-31,109.77,$4.48,24.51
2019-09-30,92.01,$4.94,18.62
2019-06-30,96.44,$3.97,24.27
2019-03-31,81.87,$4.00,20.46
2018-12-31,70.6,$3.59,19.65
2018-09-30,79.27,$3.28,24.18
2018-06-30,77.52,$2.82,27.44
2018-03-31,76.99,$2.78,27.73
2017-12-31,77.92,$2.19,35.59
2017-09-30,67.63,$2.28,29.69
2017-06-30,60.08,$2.25,26.73
2017-03-31,56.65,$2.13,26.61
2016-12-31,78.87,$2.77,28.45
2016-09-30,66.29,$3.11,21.35
2016-06-30,64.94,$4.28,15.17
2016-03-31,64.7,$4.42,14.63
2015-12-31,61.28,$9.94,6.17
2015-09-30,65.49,$9.83,6.66
2015-06-30,78.44,$8.93,8.78
2015-03-31,84.34,$9.06,9.3
2014-12-31,74.29,$3.08,24.1
2014-09-30,70.13,$7.91,8.87
