CME Group Price to Free Cash Flow Ratio Historical Data,CME Group Price to Free Cash Flow Ratio Historical Data,CME Group Price to Free Cash Flow Ratio Historical Data,CME Group Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-06-21,194.48,,20.8
2024-03-31,214.06,$9.35,22.89
2023-12-31,208.27,$9.39,22.17
2023-09-30,192.18,$9.21,20.86
2023-06-30,176.91,$8.65,20.45
2023-03-31,181.78,$8.57,21.22
2022-12-31,158.62,$8.26,19.21
2022-09-30,161.8,$7.49,21.61
2022-06-30,186.07,$7.40,25.16
2022-03-31,215.12,$7.01,30.7
2021-12-31,205.72,$6.45,31.9
2021-09-30,171.03,$6.20,27.59
2021-06-30,187.22,$5.26,35.58
2021-03-31,179.03,$6.63,27.0
2020-12-31,158.91,$7.02,22.63
2020-09-30,143.36,$7.20,19.91
2020-06-30,138.57,$8.57,16.17
2020-03-31,146.76,$7.04,20.86
2019-12-31,169.66,$6.78,25.04
2019-09-30,175.8,$6.23,28.22
2019-06-30,160.91,$5.75,28.0
2019-03-31,135.92,$6.13,22.19
2018-12-31,154.69,$6.76,22.88
2018-09-30,138.13,$6.75,20.46
2018-06-30,132.49,$6.58,20.14
2018-03-31,130.2,$5.80,22.43
2017-12-31,117.08,$4.91,23.86
2017-09-30,105.76,$5.03,21.04
2017-06-30,97.12,$4.92,19.72
2017-03-31,91.62,$4.80,19.08
2016-12-31,88.48,$4.84,18.29
2016-09-30,77.62,$4.54,17.1
2016-06-30,71.93,$4.48,16.06
2016-03-31,70.49,$4.55,15.48
2015-12-31,66.06,$4.20,15.74
2015-09-30,65.2,$4.50,14.5
2015-06-30,65.08,$3.83,17.0
2015-03-31,65.89,$3.54,18.61
2014-12-31,61.35,$3.45,17.8
2014-09-30,53.86,$3.69,14.61
2014-06-30,47.5,$3.34,14.22
2014-03-31,49.22,$3.96,12.44
2013-12-31,51.86,$4.03,12.87
2013-09-30,47.03,$3.25,14.47
2013-06-30,48.05,$3.58,13.42
2013-03-31,38.6,$3.71,10.41
2012-12-31,31.62,$3.69,8.57
2012-09-30,34.58,$3.75,9.23
2012-06-30,32.11,$4.31,7.46
2012-03-31,34.37,$1.02,33.67
2011-12-31,28.4,$0.92,30.73
2011-09-30,28.55,$0.80,35.64
2011-06-30,33.61,$0.46,72.35
2010-12-31,36.73,$3.61,10.18
2010-09-30,29.63,$4.42,6.71
2010-06-30,31.89,$4.59,6.95
2010-03-31,35.67,$4.56,7.81
2009-12-31,37.77,$3.99,9.46
2011-03-31,34.59,$2.83,12.23
