Diamondback Energy Price to Free Cash Flow Ratio Historical Data,Diamondback Energy Price to Free Cash Flow Ratio Historical Data,Diamondback Energy Price to Free Cash Flow Ratio Historical Data,Diamondback Energy Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-06-21,190.88,,7.9
2024-03-31,196.22,$24.16,8.12
2023-12-31,150.95,$25.70,5.87
2023-09-30,147.57,$26.47,5.57
2023-06-30,124.46,$26.32,4.73
2023-03-31,127.26,$27.59,4.61
2022-12-31,126.2,$26.70,4.73
2022-09-30,109.58,$29.01,3.78
2022-06-30,107.64,$24.98,4.31
2022-03-31,118.9,$23.45,5.07
2021-12-31,93.13,$18.55,5.02
2021-09-30,81.39,$21.28,3.83
2021-06-30,80.26,$18.41,4.36
2021-03-31,62.51,$11.18,5.59
2020-12-31,40.95,$11.67,3.51
2020-09-30,25.2,$17.71,1.42
2020-06-30,34.7,$17.78,1.95
2020-03-31,21.53,$18.97,1.13
2019-12-31,75.84,$17.06,4.45
2019-09-30,73.25,$-0.50,0.0
2019-06-30,88.6,$-2.24,0.0
2019-03-31,82.4,$-1.92,0.0
2018-12-31,75.15,$-0.19,0.0
2018-09-30,109.47,$0.24,462.88
2018-06-30,106.43,$0.05,2250.1
2018-03-31,102.25,$0.40,255.56
2017-12-31,102.03,$0.22,474.57
2017-09-30,79.17,$-0.01,0.0
2017-06-30,71.77,$0.27,270.74
2017-03-31,83.82,$-0.29,0.0
2016-12-31,81.67,$-0.50,0.0
2016-09-30,78.02,$-0.43,0.0
2016-06-30,73.71,$0.39,191.36
2016-03-31,62.37,$0.78,80.37
2015-12-31,54.07,$0.09,617.9
2015-09-30,52.21,$-1.44,0.0
2015-06-30,60.92,$-3.21,0.0
2015-03-31,62.1,$-4.10,0.0
2014-12-31,48.31,$-3.52,0.0
2014-09-30,60.44,$-2.78,0.0
2014-06-30,71.77,$-2.81,0.0
2014-03-31,54.4,$-3.73,0.0
2013-12-31,42.74,$-2.38,0.0
2013-09-30,34.46,$-2.53,0.0
