Crown Castle Price to Free Cash Flow Ratio Historical Data,Crown Castle Price to Free Cash Flow Ratio Historical Data,Crown Castle Price to Free Cash Flow Ratio Historical Data,Crown Castle Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-06-21,96.5,,24.41
2024-03-31,104.18,$3.95,26.36
2023-12-31,111.75,$3.92,28.5
2023-09-30,88.08,$3.78,23.28
2023-06-30,107.35,$4.19,25.6
2023-03-31,124.39,$3.59,34.7
2022-12-31,124.58,$3.61,34.48
2022-09-30,131.27,$3.49,37.63
2022-06-30,151.57,$3.57,42.41
2022-03-31,164.64,$3.58,45.97
2021-12-31,184.6,$3.59,51.36
2021-09-30,152.13,$4.11,37.04
2021-06-30,170.05,$3.82,44.57
2021-03-31,149.01,$3.53,42.26
2020-12-31,136.66,$3.37,40.59
2020-09-30,141.72,$2.63,53.92
2020-06-30,141.39,$2.29,61.64
2020-03-31,121.09,$1.95,62.11
2019-12-31,118.21,$1.53,77.09
2019-09-30,114.56,$1.39,82.15
2019-06-30,106.56,$1.55,68.97
2019-03-31,103.76,$1.71,60.66
2018-12-31,87.26,$1.83,47.59
2018-09-30,88.57,$2.00,44.32
2018-06-30,84.98,$1.96,43.38
2018-03-31,85.5,$1.83,46.71
2017-12-31,85.77,$2.13,40.31
2017-09-30,76.53,$2.05,37.33
2017-06-30,75.99,$2.13,35.64
2017-03-31,70.98,$2.45,29.02
2016-12-31,64.53,$2.68,24.1
2016-09-30,69.3,$2.79,24.8
2016-06-30,73.89,$2.71,27.28
2016-03-31,62.43,$2.62,23.78
2015-12-31,61.75,$2.65,23.31
2015-09-30,55.76,$2.46,22.62
2015-06-30,56.18,$2.75,20.46
2015-03-31,57.18,$2.62,21.82
2014-12-31,54.01,$2.53,21.39
2014-09-30,54.67,$2.53,21.64
2014-06-30,50.41,$2.36,21.41
2014-03-31,50.09,$2.20,22.74
2013-12-31,49.85,$2.13,23.45
2013-09-30,49.58,$1.87,26.55
2013-06-30,49.14,$1.61,30.44
2013-03-31,47.28,$1.38,34.28
2012-12-31,48.99,$1.14,43.09
2012-09-30,43.52,$1.19,36.6
2012-06-30,39.82,$1.02,39.17
2012-03-31,36.21,$1.11,32.49
2011-12-31,30.41,$1.03,29.43
2011-09-30,27.61,$1.07,25.75
2011-06-30,27.69,$1.34,20.7
2011-03-31,28.89,$1.40,20.67
2010-12-31,29.76,$1.31,22.73
2010-09-30,29.97,$1.30,23.1
2010-06-30,25.29,$1.27,20.0
2010-03-31,25.95,$1.28,20.35
2009-12-31,26.5,$1.39,19.1
