Cincinnati Financial Price to Free Cash Flow Ratio Historical Data,Cincinnati Financial Price to Free Cash Flow Ratio Historical Data,Cincinnati Financial Price to Free Cash Flow Ratio Historical Data,Cincinnati Financial Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-06-21,115.21,,8.96
2023-12-31,102.03,$12.87,7.93
2023-09-30,100.14,$13.25,7.56
2023-06-30,94.61,$13.32,7.1
2023-03-31,108.15,$13.17,8.21
2022-12-31,98.14,$12.83,7.65
2022-09-30,85.28,$11.76,7.25
2022-06-30,112.51,$11.19,10.05
2022-03-31,127.78,$11.15,11.46
2021-12-31,106.52,$12.08,8.82
2021-09-30,106.21,$11.49,9.24
2021-06-30,107.87,$10.89,9.9
2021-03-31,94.86,$10.20,9.3
2020-12-31,79.92,$9.06,8.82
2020-09-30,70.8,$8.80,8.05
2020-06-30,57.68,$8.11,7.11
2020-03-31,67.33,$6.99,9.63
2019-12-31,93.18,$7.17,12.99
2019-09-30,102.83,$7.29,14.11
2019-06-30,90.93,$7.09,12.82
2019-03-31,74.94,$7.32,10.24
2018-12-31,67.1,$7.06,9.51
2018-09-30,66.11,$7.14,9.26
2018-06-30,57.16,$6.79,8.42
2018-03-31,63.0,$6.73,9.37
2024-03-31,123.29,$7.63,16.16
2017-12-31,63.16,$6.24,10.12
2017-09-30,63.64,$6.08,10.47
2017-06-30,59.82,$6.29,9.51
2017-03-31,59.27,$5.85,10.14
2016-12-31,61.71,$6.62,9.32
2016-09-30,61.06,$6.86,8.9
2016-06-30,60.24,$6.58,9.16
2016-03-31,52.22,$6.72,7.77
2015-12-31,46.92,$6.43,7.3
2015-09-30,42.02,$5.95,7.06
2015-06-30,38.86,$5.95,6.53
2015-03-31,40.88,$5.76,7.1
2014-12-31,39.43,$5.23,7.54
2014-09-30,35.48,$5.35,6.63
2014-06-30,35.9,$5.37,6.69
2014-03-31,36.04,$5.19,6.94
2013-12-31,38.42,$4.77,8.05
2013-09-30,34.32,$4.47,7.68
2013-06-30,33.12,$3.76,8.8
2013-03-31,33.76,$3.31,10.21
2012-12-31,27.75,$3.86,7.19
2012-09-30,26.57,$3.25,8.18
2012-06-30,26.43,$3.07,8.62
2012-03-31,23.7,$2.03,11.68
2011-12-31,20.68,$1.47,14.07
2011-09-30,17.64,$1.51,11.66
2011-06-30,19.26,$1.67,11.56
2011-03-31,21.34,$2.86,7.46
2010-12-31,20.38,$3.15,6.47
2010-09-30,18.3,$3.40,5.38
2010-06-30,16.2,$3.60,4.49
2010-03-31,17.85,$3.39,5.26
2009-12-31,15.98,$2.97,5.39
