Cummins Price to Free Cash Flow Ratio Historical Data,Cummins Price to Free Cash Flow Ratio Historical Data,Cummins Price to Free Cash Flow Ratio Historical Data,Cummins Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-06-21,276.94,,15.45
2024-03-31,292.92,$17.92,16.34
2023-12-31,236.65,$19.29,12.27
2023-09-30,224.0,$15.17,14.76
2023-06-30,238.63,$7.70,30.98
2023-03-31,230.83,$9.05,25.5
2022-12-31,232.65,$7.35,31.65
2022-09-30,194.19,$7.14,27.21
2022-06-30,183.41,$8.83,20.77
2022-03-31,193.0,$9.15,21.09
2021-12-31,203.91,$10.43,19.55
2021-09-30,208.59,$14.08,14.81
2021-06-30,225.06,$18.55,12.13
2021-03-31,237.92,$14.39,16.53
2020-12-31,207.37,$14.72,14.08
2020-09-30,191.71,$12.27,15.63
2020-06-30,156.32,$11.09,14.1
2020-03-31,121.08,$16.00,7.57
2019-12-31,158.88,$15.89,10.0
2019-09-30,143.38,$16.34,8.77
2019-06-30,149.68,$14.69,10.19
2019-03-31,136.93,$13.31,10.28
2018-12-31,115.06,$10.25,11.22
2018-09-30,124.79,$9.85,12.67
2018-06-30,112.74,$9.15,12.32
2018-03-31,136.39,$8.33,16.38
2017-12-31,147.68,$11.24,13.13
2017-09-30,139.58,$10.12,13.8
2017-06-30,133.82,$8.99,14.89
2017-03-31,123.9,$9.03,13.72
2016-12-31,111.24,$8.40,13.25
2016-09-30,103.52,$9.41,11.01
2016-06-30,90.1,$9.00,10.01
2016-03-31,87.33,$8.28,10.55
2015-12-31,69.22,$7.54,9.17
2015-09-30,84.56,$7.12,11.88
2015-06-30,101.39,$7.62,13.3
2015-03-31,106.56,$7.88,13.53
2014-12-31,110.19,$8.32,13.25
2014-09-30,100.33,$7.99,12.56
2014-06-30,116.67,$6.39,18.26
2014-03-31,112.19,$6.72,16.69
2013-12-31,105.68,$7.54,14.02
2013-09-30,99.13,$7.43,13.34
2013-06-30,80.51,$7.39,10.9
2013-03-31,85.61,$6.65,12.87
2012-12-31,79.74,$4.44,17.96
2012-09-30,67.52,$4.31,15.65
2012-06-30,70.62,$5.50,12.83
2012-03-31,87.13,$7.00,12.44
2011-12-31,63.68,$7.54,8.45
2011-09-30,58.83,$6.16,9.56
2011-06-30,74.2,$4.34,17.09
2011-03-31,78.4,$2.93,26.75
2010-12-31,78.5,$3.54,22.2
2010-09-30,64.45,$4.06,15.89
2010-06-30,46.19,$5.19,8.9
2010-03-31,43.83,$4.73,9.26
2009-12-31,32.34,$4.23,7.64
