Starbucks Price to Free Cash Flow Ratio Historical Data,Starbucks Price to Free Cash Flow Ratio Historical Data,Starbucks Price to Free Cash Flow Ratio Historical Data,Starbucks Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-06-21,79.91,,23.14
2024-03-31,90.7,$3.45,26.26
2023-12-31,94.73,$3.92,24.16
2023-09-30,89.55,$3.29,27.24
2023-06-30,96.69,$2.67,36.16
2023-03-31,101.13,$2.47,40.87
2022-12-31,95.87,$1.90,50.35
2022-09-30,80.96,$2.21,36.7
2022-06-30,72.99,$2.62,27.91
2022-03-31,86.31,$3.07,28.12
2021-12-31,110.42,$3.77,29.29
2021-09-30,103.68,$3.81,27.2
2021-06-30,104.69,$3.92,26.74
2021-03-31,101.89,$2.09,48.86
2020-12-31,99.33,$0.16,606.77
2020-09-30,79.39,$0.10,821.88
2020-06-30,67.63,$-0.43,0.0
2020-03-31,60.09,$0.85,70.76
2019-12-31,80.0,$2.28,35.02
2019-09-30,80.06,$2.63,30.47
2019-06-30,75.61,$7.81,9.69
2019-03-31,67.05,$7.69,8.72
2018-12-31,57.79,$7.72,7.49
2018-09-30,50.73,$7.14,7.1
2018-06-30,43.3,$1.92,22.58
2018-03-31,51.04,$1.93,26.38
2017-12-31,50.36,$2.02,24.96
2017-09-30,46.85,$1.87,25.06
2017-06-30,50.63,$2.14,23.65
2017-03-31,50.49,$2.07,24.34
2016-12-31,47.79,$1.40,34.12
2016-09-30,46.39,$0.98,47.33
2016-06-30,48.77,$0.59,82.26
2016-03-31,50.8,$0.29,172.89
2015-09-30,48.05,$1.62,29.63
2015-06-30,45.2,$1.47,30.76
2015-03-31,39.79,$1.53,26.01
2014-12-31,34.35,$1.47,23.42
2014-09-30,31.46,$-0.36,0.0
2014-06-30,32.15,$-0.29,0.0
2014-03-31,30.38,$-0.40,0.0
2013-12-31,32.33,$-0.47,0.0
2013-09-30,31.64,$1.15,27.45
2013-06-30,26.85,$1.01,26.6
2013-03-31,23.27,$0.99,23.45
2012-12-31,21.83,$0.92,23.85
2012-09-30,20.55,$0.58,35.54
2012-06-30,21.53,$0.68,31.54
2012-03-31,22.5,$0.67,33.64
2011-12-31,18.46,$0.63,29.46
2011-09-30,14.9,$0.78,19.15
2011-06-30,15.72,$0.60,26.11
2011-03-31,14.66,$0.60,24.36
2010-12-31,12.69,$0.74,17.06
2010-09-30,10.05,$0.83,12.15
2010-06-30,9.51,$0.51,18.76
2010-03-31,9.46,$1.17,8.12
2009-12-31,8.99,$1.25,7.16
2009-09-30,8.05,$1.14,7.06
