Humana Price to Free Cash Flow Ratio Historical Data,Humana Price to Free Cash Flow Ratio Historical Data,Humana Price to Free Cash Flow Ratio Historical Data,Humana Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-06-21,355.48,,0.0
2024-03-31,346.72,$-23.84,0.0
2023-12-31,456.65,$25.61,17.83
2023-09-30,484.35,$41.61,11.64
2023-06-30,444.34,$96.82,4.59
2023-03-31,481.47,$78.70,6.12
2022-12-31,507.06,$27.28,18.59
2022-09-30,479.6,$65.89,7.28
2022-06-30,461.94,$21.19,21.8
2022-03-31,428.75,$16.07,26.69
2021-12-31,456.19,$7.31,62.4
2021-09-30,382.15,$10.88,35.11
2021-06-30,433.98,$3.20,135.64
2021-03-31,410.33,$24.32,16.87
2020-12-31,400.88,$35.15,11.41
2020-09-30,403.79,$37.12,10.88
2020-06-30,377.7,$42.23,8.94
2020-03-31,305.38,$30.31,10.07
2019-12-31,355.72,$33.76,10.54
2019-09-30,247.77,$28.18,8.79
2019-06-30,256.55,$2.55,100.74
2019-03-31,256.7,$-8.74,0.0
2018-12-31,275.88,$11.28,24.46
2018-09-30,325.42,$-6.16,0.0
2018-06-30,285.69,$21.41,13.34
2018-03-31,257.61,$22.39,11.51
2017-12-31,237.27,$24.23,9.79
2017-09-30,232.65,$26.06,8.93
2017-06-30,229.4,$36.21,6.33
2017-03-31,196.2,$34.26,5.73
2016-12-31,193.53,$9.34,20.73
2016-09-30,167.52,$29.90,5.6
2016-06-30,170.35,$6.99,24.39
2016-03-31,172.98,$4.89,35.36
2015-12-31,168.52,$2.29,73.62
2015-09-30,168.71,$1.16,145.53
2015-06-30,179.98,$0.34,527.96
2015-03-31,167.26,$3.28,50.98
2014-12-31,134.73,$6.99,19.27
2014-09-30,121.98,$5.90,20.68
2014-06-30,119.32,$7.17,16.65
2014-03-31,105.08,$9.64,10.91
2013-12-31,95.99,$8.04,11.94
2013-09-30,86.57,$9.50,9.11
2013-06-30,78.04,$-5.66,0.0
2013-03-31,63.71,$-2.34,0.0
2012-12-31,63.03,$9.26,6.81
2012-09-30,64.18,$-2.88,0.0
2012-06-30,70.58,$22.92,3.08
2012-03-31,84.02,$19.72,4.26
2011-12-31,79.37,$10.39,7.64
2011-09-30,65.7,$21.27,3.09
2011-06-30,72.52,$10.97,6.61
2011-03-31,62.78,$11.97,5.25
2010-12-31,49.14,$11.90,4.13
2010-09-30,45.1,$13.86,3.25
2010-06-30,41.0,$12.39,3.31
2010-03-31,41.98,$11.49,3.65
2009-12-31,39.4,$7.32,5.38
