WEC Energy Price to Free Cash Flow Ratio Historical Data,WEC Energy Price to Free Cash Flow Ratio Historical Data,WEC Energy Price to Free Cash Flow Ratio Historical Data,WEC Energy Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-06-21,78.23,,40.05
2024-03-31,81.32,$1.95,41.63
2023-12-31,82.45,$1.57,52.66
2023-09-30,78.14,$0.58,135.89
2023-06-30,84.83,$-1.01,0.0
2023-03-31,90.38,$-2.01,0.0
2022-12-31,88.65,$-0.73,0.0
2022-09-30,83.91,$-0.54,0.0
2022-06-30,93.78,$1.15,81.5
2022-03-31,92.34,$1.80,51.31
2021-12-31,89.09,$-0.63,0.0
2021-09-30,80.35,$0.12,680.92
2021-06-30,80.46,$-0.41,0.0
2021-03-31,84.06,$-0.89,0.0
2020-12-31,82.0,$-0.07,0.0
2020-09-30,85.81,$0.20,421.88
2020-06-30,77.09,$-0.02,0.0
2020-03-31,76.93,$-0.34,0.0
2019-12-31,80.01,$0.27,299.23
2019-09-30,81.95,$0.55,149.58
2019-06-30,71.38,$0.53,134.49
2019-03-31,67.21,$0.83,81.18
2018-12-31,58.4,$1.04,56.11
2018-09-30,55.85,$0.56,99.24
2018-06-30,53.64,$0.69,77.24
2018-03-31,51.56,$0.60,86.15
2017-12-31,54.14,$0.38,144.19
2017-09-30,50.78,$1.84,27.61
2017-06-30,49.25,$1.82,27.05
2017-03-31,48.24,$2.67,18.04
2016-12-31,46.24,$2.67,17.31
2016-09-30,46.8,$1.51,31.02
2016-06-30,50.63,$1.10,45.91
2016-03-31,46.2,$0.64,72.25
2015-12-31,39.12,$0.21,189.43
2015-09-30,39.45,$0.61,65.14
2015-06-30,33.82,$1.62,20.9
2015-03-31,36.73,$1.58,23.27
2014-12-31,38.81,$1.92,20.17
2014-09-30,31.39,$2.10,14.97
2014-06-30,33.94,$2.42,14.02
2014-03-31,33.39,$2.49,13.4
2013-12-31,29.39,$2.22,13.25
2013-09-30,28.44,$2.25,12.65
2013-06-30,28.61,$2.40,11.91
2013-03-31,29.7,$2.04,14.53
2012-12-31,25.3,$2.04,12.39
2012-09-30,25.66,$2.00,12.85
2012-06-30,26.75,$0.69,38.52
2012-03-31,23.59,$0.48,49.64
2011-12-31,23.24,$0.87,26.8
2011-09-30,20.63,$0.70,29.59
2011-06-30,20.48,$1.32,15.49
2011-03-31,19.76,$1.12,17.62
2010-12-31,18.9,$0.34,55.3
2010-09-30,18.44,$0.45,41.06
2010-06-30,16.07,$0.24,66.92
2010-03-31,15.53,$0.39,40.27
2009-12-31,15.53,$-0.72,0.0
