Charter Communications Price to Free Cash Flow Ratio Historical Data,Charter Communications Price to Free Cash Flow Ratio Historical Data,Charter Communications Price to Free Cash Flow Ratio Historical Data,Charter Communications Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-06-21,290.35,,15.19
2024-03-31,290.63,$19.11,15.21
2023-12-31,388.68,$21.83,17.8
2023-09-30,439.82,$19.85,22.15
2023-06-30,367.37,$22.60,16.25
2023-03-31,357.61,$29.08,12.3
2022-12-31,339.1,$33.75,10.05
2022-09-30,303.35,$39.26,7.73
2022-06-30,468.53,$44.17,10.61
2022-03-31,545.52,$45.45,12.0
2021-12-31,651.97,$44.57,14.63
2021-09-30,727.56,$44.37,16.4
2021-06-30,721.45,$38.31,18.83
2021-03-31,617.02,$35.26,17.5
2020-12-31,661.55,$34.15,19.37
2020-09-30,624.34,$28.96,21.56
2020-06-30,510.04,$26.85,19.0
2020-03-31,436.31,$24.12,18.09
2019-12-31,485.08,$20.35,23.84
2019-09-30,412.12,$18.69,22.05
2019-06-30,395.18,$15.74,25.11
2019-03-31,346.91,$13.57,25.57
2018-12-31,284.97,$11.22,25.4
2018-09-30,325.88,$9.13,35.69
2018-06-30,293.21,$8.38,34.98
2018-03-31,311.22,$8.45,36.81
2017-12-31,335.96,$11.03,30.46
2017-09-30,363.42,$16.63,21.86
2017-06-30,336.85,$17.78,18.94
2017-03-31,327.32,$16.33,20.04
2016-12-31,287.92,$11.57,24.89
2016-09-30,269.97,$5.69,47.49
2016-06-30,228.64,$3.98,57.39
2016-03-31,202.43,$3.33,60.82
2015-12-31,183.1,$5.13,35.69
2015-09-30,175.43,$5.34,32.86
2015-06-30,171.25,$3.11,54.98
2015-03-31,193.11,$2.77,69.8
2014-12-31,166.62,$1.41,118.31
2014-09-30,151.37,$0.86,175.05
2014-06-30,158.38,$2.54,62.42
2014-03-31,123.2,$2.59,47.65
2013-12-31,136.76,$3.61,37.85
2013-09-30,134.76,$3.67,36.75
2013-06-30,123.85,$2.28,54.43
2013-03-31,104.18,$1.61,64.8
2012-12-31,76.24,$1.45,52.44
2012-09-30,75.06,$2.17,34.53
2012-06-30,70.87,$3.45,20.56
2012-03-31,63.45,$4.84,13.1
2011-12-31,56.94,$4.47,12.75
2011-09-30,46.84,$5.73,8.18
2011-06-30,54.26,$6.07,8.94
2011-03-31,50.63,$5.79,8.75
2010-12-31,38.94,$7.02,5.55
