Chevron Price to Free Cash Flow Ratio Historical Data,Chevron Price to Free Cash Flow Ratio Historical Data,Chevron Price to Free Cash Flow Ratio Historical Data,Chevron Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-06-21,155.28,,14.76
2023-12-31,146.12,$10.52,13.89
2023-09-30,163.45,$24.15,6.77
2023-06-30,151.09,$22.97,6.58
2023-03-31,155.15,$27.99,5.54
2022-12-31,169.17,$31.19,5.42
2024-03-31,156.16,$16.41,9.52
2022-09-30,134.37,$18.50,7.26
2022-06-30,134.21,$15.58,8.62
2022-03-31,149.68,$12.86,11.64
2021-12-31,106.74,$11.01,9.7
2021-09-30,91.22,$7.52,12.14
2021-06-30,92.89,$5.07,18.32
2021-03-31,91.78,$1.31,69.95
2020-12-31,72.95,$0.89,82.43
2020-09-30,61.29,$1.56,39.27
2020-06-30,74.86,$2.90,25.82
2020-03-31,59.95,$6.71,8.94
2019-12-31,98.55,$6.96,14.15
2019-09-30,96.04,$8.91,10.78
2019-06-30,99.75,$9.67,10.31
2019-03-31,97.77,$8.83,11.07
2018-12-31,85.49,$8.79,9.72
2018-09-30,95.18,$7.37,12.91
2018-06-30,97.48,$5.44,17.91
2018-03-31,87.18,$4.48,19.46
2017-12-31,94.76,$3.65,25.94
2017-09-30,88.1,$2.19,40.27
2017-06-30,77.45,$1.67,46.3
2017-03-31,78.89,$-0.28,0.0
2016-12-31,85.66,$-2.89,0.0
2016-09-30,74.16,$-4.25,0.0
2016-06-30,74.76,$-5.72,0.0
2016-03-31,67.32,$-4.91,0.0
2015-12-31,62.69,$-5.36,0.0
2015-09-30,54.33,$-5.49,0.0
2015-06-30,65.6,$-4.49,0.0
2015-03-31,70.69,$-4.82,0.0
2014-12-31,74.81,$-2.07,0.0
2014-09-30,78.85,$-1.00,0.0
2014-06-30,85.55,$-0.86,0.0
2014-03-31,77.25,$-0.34,0.0
2013-12-31,80.43,$-1.54,0.0
2013-09-30,77.59,$0.22,358.7
2013-06-30,74.95,$-0.01,0.0
2013-03-31,74.64,$1.47,50.67
2012-12-31,67.41,$4.01,16.82
2012-09-30,72.02,$3.72,19.36
2012-06-30,64.67,$5.98,10.81
2012-03-31,65.14,$5.98,10.89
2011-12-31,64.15,$7.29,8.79
2011-09-30,55.38,$7.79,7.11
2011-06-30,61.02,$6.58,9.27
2011-03-31,63.29,$6.65,9.51
2010-12-31,53.33,$5.85,9.12
2010-09-30,46.96,$5.31,8.84
2010-06-30,38.96,$5.42,7.19
2010-03-31,43.13,$3.33,12.97
2009-12-31,43.38,$-0.23,0.0
