Duke Energy Price to Free Cash Flow Ratio Historical Data,Duke Energy Price to Free Cash Flow Ratio Historical Data,Duke Energy Price to Free Cash Flow Ratio Historical Data,Duke Energy Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-06-21,99.84,,0.0
2024-03-31,95.76,$-2.33,0.0
2023-12-31,95.03,$-3.54,0.0
2023-09-30,85.46,$-5.82,0.0
2023-06-30,85.92,$-8.88,0.0
2023-03-31,91.42,$-8.24,0.0
2022-12-31,96.61,$-7.06,0.0
2022-09-30,86.35,$-5.88,0.0
2022-06-30,98.61,$-2.27,0.0
2022-03-31,101.78,$-2.67,0.0
2021-12-31,94.67,$-1.85,0.0
2021-09-30,87.23,$-0.37,0.0
2021-06-30,87.43,$-0.04,0.0
2021-03-31,84.69,$0.15,575.37
2020-12-31,79.49,$-1.42,0.0
2020-09-30,76.1,$-1.51,0.0
2020-06-30,67.86,$-3.06,0.0
2020-03-31,67.92,$-3.95,0.0
2019-12-31,75.88,$-4.00,0.0
2019-09-30,78.9,$-4.95,0.0
2019-06-30,71.87,$-4.90,0.0
2019-03-31,72.52,$-3.90,0.0
2018-12-31,68.82,$-3.11,0.0
2018-09-30,63.13,$-2.33,0.0
2018-06-30,61.69,$-1.95,0.0
2018-03-31,59.71,$-1.73,0.0
2017-12-31,64.08,$-2.04,0.0
2017-09-30,63.31,$-3.25,0.0
2017-06-30,62.42,$-2.87,0.0
2017-03-31,60.61,$-2.86,0.0
2016-12-31,56.73,$-1.50,0.0
2016-09-30,57.83,$-0.67,0.0
2016-06-30,61.36,$-0.07,0.0
2016-03-31,57.09,$-0.06,0.0
2015-12-31,49.99,$-0.10,0.0
2015-09-30,49.77,$0.80,62.3
2015-06-30,48.32,$1.18,40.97
2015-03-31,51.99,$1.52,34.16
2014-12-31,56.02,$1.70,32.95
2014-09-30,49.64,$1.60,31.02
2014-06-30,48.71,$1.29,37.84
2014-03-31,46.26,$1.82,25.42
2013-12-31,44.33,$1.21,36.56
2013-09-30,42.43,$0.98,43.28
2013-06-30,42.41,$0.32,134.64
2013-03-31,45.13,$-0.59,0.0
2012-12-31,39.23,$-0.45,0.0
2012-09-30,39.34,$-1.38,0.0
2012-06-30,41.53,$-1.53,0.0
2012-03-31,37.4,$-1.72,0.0
2011-12-31,38.7,$-1.56,0.0
2011-09-30,34.74,$-1.19,0.0
2011-06-30,32.25,$-0.93,0.0
2011-03-31,30.7,$-0.75,0.0
2010-12-31,29.71,$-0.78,0.0
2010-09-30,29.15,$-0.73,0.0
2010-06-30,25.96,$-0.65,0.0
2010-03-31,26.1,$-0.71,0.0
2009-12-31,27.13,$-2.25,0.0
