Bunge Global SA Price to Free Cash Flow Ratio Historical Data,Bunge Global SA Price to Free Cash Flow Ratio Historical Data,Bunge Global SA Price to Free Cash Flow Ratio Historical Data,Bunge Global SA Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-06-24,108.17,,7.34
2024-03-31,101.85,$14.73,6.91
2023-12-31,99.56,$14.50,6.87
2023-09-30,106.1,$0.28,383.3
2023-06-30,91.93,$-10.01,0.0
2023-03-31,92.41,$-16.90,0.0
2022-12-31,95.92,$-39.86,0.0
2022-09-30,78.89,$-41.35,0.0
2022-06-30,86.11,$-41.64,0.0
2022-03-31,104.73,$-34.88,0.0
2021-12-31,87.78,$-21.61,0.0
2021-09-30,76.04,$-22.52,0.0
2021-06-30,72.58,$-25.49,0.0
2021-03-31,73.21,$-27.29,0.0
2020-12-31,60.18,$-26.06,0.0
2020-09-30,41.59,$-13.34,0.0
2020-06-30,37.02,$-11.28,0.0
2020-03-31,36.4,$-9.21,0.0
2019-12-31,50.61,$-9.41,0.0
2019-09-30,49.35,$-0.31,0.0
2019-06-30,48.12,$5.36,8.98
2019-03-31,45.41,$-2.74,0.0
2018-12-31,45.29,$-12.40,0.0
2018-09-30,57.74,$-24.91,0.0
2018-06-30,58.12,$-33.73,0.0
2018-03-31,61.24,$-26.44,0.0
2017-12-31,55.23,$-18.67,0.0
2017-09-30,56.79,$-20.94,0.0
2017-06-30,60.62,$-6.91,0.0
2017-03-31,64.02,$-7.45,0.0
2016-12-31,58.0,$-2.10,0.0
2016-09-30,47.26,$-0.78,0.0
2016-06-30,46.89,$-3.42,0.0
2016-03-31,44.64,$-1.63,0.0
2015-12-31,53.39,$-0.17,0.0
2015-09-30,57.0,$1.72,33.23
2015-06-30,67.93,$7.71,8.81
2015-03-31,63.49,$13.48,4.71
2014-12-31,69.79,$3.95,17.65
2014-09-30,64.41,$11.06,5.82
2014-06-30,57.6,$7.65,7.53
2014-03-31,60.32,$0.90,66.72
2013-12-31,62.05,$8.37,7.41
2013-09-30,57.15,$13.73,4.16
2013-06-30,53.08,$3.53,15.04
2013-03-31,55.16,$-7.59,0.0
2012-12-31,54.11,$-10.36,0.0
2012-09-30,49.72,$-16.84,0.0
2012-06-30,46.33,$-8.82,0.0
2012-03-31,50.33,$3.53,14.27
2011-12-31,41.91,$10.50,3.99
2011-09-30,42.54,$-3.95,0.0
2011-06-30,50.11,$-19.15,0.0
2011-03-31,52.4,$2.05,25.53
2010-12-31,47.32,$2.03,23.33
2010-09-30,42.56,$8.34,5.1
2010-06-30,35.24,$25.40,1.39
2010-03-31,43.97,$-2.54,0.0
2009-12-31,45.38,$-9.79,0.0
