DaVita Price to Free Cash Flow Ratio Historical Data,DaVita Price to Free Cash Flow Ratio Historical Data,DaVita Price to Free Cash Flow Ratio Historical Data,DaVita Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-06-21,141.38,,10.67
2024-03-31,138.05,$13.25,10.42
2023-12-31,104.76,$17.33,6.05
2023-09-30,94.53,$18.74,5.05
2023-03-31,81.11,$11.49,7.06
2022-12-31,74.67,$10.03,7.45
2022-09-30,82.77,$13.35,6.2
2022-06-30,79.96,$6.34,12.61
2022-03-31,113.11,$8.71,12.98
2021-12-31,113.76,$11.50,9.89
2023-06-30,100.47,$7.08,14.19
2021-09-30,116.26,$11.01,10.56
2021-06-30,120.43,$9.79,12.31
2021-03-31,107.77,$9.41,11.46
2020-12-31,117.4,$11.05,10.63
2020-09-30,85.65,$11.68,7.34
2020-06-30,79.14,$14.72,5.38
2020-03-31,76.06,$35.83,2.12
2019-12-31,75.03,$33.70,2.23
2019-09-30,57.07,$31.69,1.8
2019-06-30,56.26,$27.52,2.04
2019-03-31,54.29,$4.34,12.5
2018-12-31,51.46,$5.42,9.49
2018-09-30,71.63,$5.75,12.45
2018-06-30,69.44,$5.47,12.7
2018-03-31,65.94,$3.00,22.0
2017-12-31,72.25,$5.75,12.57
2017-09-30,59.39,$6.37,9.33
2017-06-30,64.76,$6.61,9.8
2017-03-31,67.97,$5.45,12.48
2016-12-31,64.2,$2.86,22.48
2016-09-30,66.07,$3.69,17.93
2016-06-30,77.32,$1.47,52.65
2015-12-31,69.71,$4.02,17.35
2015-09-30,72.33,$5.62,12.87
2015-06-30,79.47,$4.50,17.64
2015-03-31,81.28,$8.30,9.79
2014-12-31,75.74,$7.46,10.16
2016-03-31,73.38,$6.23,11.78
2014-09-30,73.14,$5.93,12.34
2014-06-30,72.32,$5.54,13.05
2014-03-31,68.85,$5.80,11.87
2013-12-31,63.37,$5.67,11.17
2013-09-30,56.9,$4.87,11.67
2013-06-30,60.4,$3.34,18.07
2013-03-31,59.3,$-0.37,0.0
2012-12-31,55.27,$-1.26,0.0
2012-09-30,51.81,$0.76,68.4
2012-06-30,49.11,$0.14,342.2
2011-12-31,37.91,$4.43,8.56
2011-09-30,31.34,$5.69,5.51
2011-06-30,43.31,$4.69,9.24
2011-03-31,42.76,$4.53,9.44
2010-12-31,34.75,$4.34,8.0
2012-03-31,45.09,$3.79,11.9
2010-09-30,34.52,$3.09,11.18
2010-06-30,31.22,$3.11,10.04
2010-03-31,31.7,$2.67,11.86
2009-12-31,29.37,$1.92,15.3
