Boston Scientific Price to Free Cash Flow Ratio Historical Data,Boston Scientific Price to Free Cash Flow Ratio Historical Data,Boston Scientific Price to Free Cash Flow Ratio Historical Data,Boston Scientific Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-06-21,77.71,,66.93
2024-03-31,68.49,$1.16,58.99
2023-12-31,57.81,$1.23,47.11
2023-09-30,52.8,$1.16,45.34
2023-06-30,54.09,$1.05,51.63
2023-03-31,50.03,$0.84,59.88
2022-12-31,46.27,$0.66,70.12
2022-09-30,38.73,$0.40,97.63
2022-06-30,37.27,$0.42,87.86
2022-03-31,44.29,$0.66,67.13
2021-12-31,42.48,$0.93,45.8
2021-09-30,43.39,$1.15,37.82
2021-06-30,42.76,$1.31,32.56
2021-03-31,38.65,$1.08,35.8
2020-12-31,35.95,$0.81,44.52
2020-09-30,38.21,$0.80,47.95
2020-06-30,35.11,$0.65,53.88
2020-03-31,32.63,$0.65,50.09
2019-12-31,45.22,$0.98,46.16
2019-09-30,40.69,$0.57,71.78
2019-06-30,42.98,$0.60,71.69
2019-03-31,38.38,$-0.58,0.0
2018-12-31,35.34,$-0.35,0.0
2018-09-30,38.5,$-0.02,0.0
2018-06-30,32.7,$-0.16,0.0
2017-12-31,24.79,$0.79,31.19
2017-09-30,29.17,$0.87,33.48
2017-06-30,27.72,$0.69,40.44
2017-03-31,24.87,$0.44,56.31
2016-12-31,21.63,$0.78,27.74
2018-03-31,27.32,$0.33,82.41
2016-09-30,23.8,$0.49,48.95
2016-06-30,23.37,$0.81,28.69
2016-03-31,18.81,$0.58,32.66
2015-12-31,18.44,$0.33,55.71
2015-09-30,16.41,$0.36,45.31
2015-06-30,17.7,$0.33,54.03
2015-03-31,17.75,$0.48,37.17
2014-12-31,13.25,$0.76,17.37
2014-09-30,11.81,$0.62,18.94
2014-06-30,12.77,$0.56,22.84
2014-03-31,13.52,$0.65,20.83
2013-12-31,12.02,$0.68,17.56
2013-09-30,11.74,$0.78,15.03
2013-06-30,9.27,$0.80,11.57
2013-03-31,7.81,$0.80,9.78
2012-12-31,5.73,$0.76,7.53
2012-09-30,5.74,$0.71,8.1
2012-06-30,5.67,$0.73,7.72
2012-03-31,5.98,$0.68,8.76
2011-12-31,5.34,$0.47,11.27
2011-09-30,5.91,$0.54,10.88
2011-06-30,6.91,$0.21,32.2
2011-03-31,7.19,$0.16,43.89
2010-12-31,7.57,$0.04,198.17
2010-09-30,6.13,$-0.49,0.0
2010-06-30,5.8,$-0.09,0.0
2010-03-31,7.22,$-0.02,0.0
2009-12-31,9.0,$0.35,25.7
