Deckers Outdoor Price to Free Cash Flow Ratio Historical Data,Deckers Outdoor Price to Free Cash Flow Ratio Historical Data,Deckers Outdoor Price to Free Cash Flow Ratio Historical Data,Deckers Outdoor Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-06-24,978.08,,26.99
2024-03-31,941.26,$36.24,25.98
2023-12-31,668.43,$39.51,16.92
2023-09-30,514.09,$29.34,17.52
2023-06-30,527.66,$22.23,23.74
2023-03-31,449.55,$17.10,26.29
2022-12-31,399.16,$13.51,29.55
2022-09-30,312.61,$1.73,180.84
2022-06-30,255.35,$4.68,54.58
2022-03-31,273.77,$4.37,62.7
2021-12-31,366.31,$8.95,40.94
2021-09-30,360.2,$13.74,26.21
2021-06-30,384.07,$17.58,21.84
2021-03-31,330.42,$19.86,16.64
2020-12-31,286.78,$18.88,15.19
2020-09-30,220.01,$15.88,13.86
2020-06-30,196.39,$11.14,17.63
2020-03-31,134.0,$8.86,15.12
2019-12-31,168.86,$9.90,17.06
2019-09-30,147.36,$8.83,16.69
2019-06-30,175.97,$9.18,19.18
2019-03-31,146.99,$11.05,13.3
2018-12-31,127.95,$10.69,11.97
2018-09-30,118.58,$9.31,12.74
2018-06-30,112.89,$9.52,11.85
2018-03-31,90.03,$9.15,9.84
2017-12-31,80.25,$7.95,10.09
2017-09-30,68.41,$8.68,7.88
2017-06-30,68.26,$6.42,10.64
2017-03-31,59.73,$4.79,12.48
2016-12-31,55.39,$2.87,19.3
2016-09-30,59.55,$3.10,19.21
2016-06-30,57.52,$1.32,43.7
2016-03-31,59.91,$1.77,33.78
2015-12-31,47.2,$1.86,25.35
2015-09-30,58.06,$-0.42,0.0
2015-06-30,71.97,$3.15,22.82
2015-03-31,72.87,$2.26,32.24
2014-12-31,91.04,$4.24,21.45
2014-09-30,97.18,$-1.47,0.0
2014-06-30,86.33,$-0.67,0.0
2014-03-31,79.73,$0.88,91.08
2013-12-31,84.46,$0.11,802.09
2013-09-30,65.92,$0.09,722.02
2013-06-30,50.51,$-0.88,0.0
2013-03-31,55.69,$0.11,528.87
2012-12-31,40.27,$0.41,99.11
2012-09-30,36.64,$0.46,79.0
2012-06-30,44.01,$2.91,15.1
2012-03-31,63.05,$0.41,155.18
2011-12-31,75.57,$-0.04,0.0
2011-09-30,93.16,$-4.31,0.0
2011-06-30,88.14,$-2.36,0.0
2011-03-31,86.15,$-0.04,0.0
2010-12-31,79.74,$0.47,169.48
2010-09-30,49.96,$-0.31,0.0
2010-06-30,47.62,$0.82,58.06
2010-03-31,46.0,$0.47,97.77
2009-12-31,33.91,$0.93,36.31
