Revvity Price to Free Cash Flow Ratio Historical Data,Revvity Price to Free Cash Flow Ratio Historical Data,Revvity Price to Free Cash Flow Ratio Historical Data,Revvity Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-06-21,107.98,,136.13
2024-03-31,104.93,$0.79,132.28
2023-12-31,109.16,$0.08,1374.82
2023-09-30,110.47,$-0.46,0.0
2023-06-30,118.48,$1.21,98.19
2023-03-31,132.84,$3.01,44.1
2022-12-31,139.71,$4.70,29.73
2022-09-30,119.82,$6.35,18.86
2022-06-30,141.55,$7.53,18.79
2022-03-31,173.57,$9.30,18.67
2021-12-31,199.95,$11.35,17.61
2021-09-30,172.27,$13.11,13.14
2021-06-30,153.43,$12.43,12.34
2021-03-31,127.41,$8.93,14.26
2020-12-31,142.45,$6.58,21.66
2020-09-30,124.52,$3.11,40.01
2020-06-30,97.25,$1.68,57.84
2019-12-31,96.12,$2.58,37.26
2019-09-30,84.24,$2.79,30.17
2019-06-30,95.22,$2.34,40.62
2019-03-31,95.17,$3.06,31.11
2018-12-31,77.51,$3.78,20.48
2020-03-31,74.57,$1.51,49.37
2018-09-30,95.91,$2.17,44.15
2018-06-30,72.14,$1.61,44.75
2018-03-31,74.53,$1.49,49.96
2017-12-31,71.9,$2.26,31.83
2017-09-30,67.76,$2.71,24.98
2017-06-30,66.87,$2.68,24.93
2017-03-31,56.91,$3.29,17.32
2016-12-31,51.05,$3.08,16.57
2016-09-30,54.85,$2.63,20.88
2016-06-30,51.18,$2.70,18.96
2016-03-31,48.23,$2.22,21.72
2015-12-31,52.15,$2.28,22.83
2015-09-30,44.68,$2.10,21.3
2015-06-30,51.11,$2.11,24.17
2015-03-31,49.58,$2.01,24.67
2014-12-31,42.33,$2.26,18.74
2014-09-30,42.13,$1.99,21.12
2014-06-30,45.19,$2.32,19.5
2014-03-31,43.4,$1.10,39.45
2013-12-31,39.65,$0.75,53.16
2013-09-30,36.23,$0.25,145.93
2013-06-30,31.13,$0.05,610.39
2012-12-31,30.28,$0.96,31.68
2012-09-30,28.05,$2.49,11.28
2012-06-30,24.49,$2.41,10.15
2012-03-31,26.18,$2.15,12.19
2011-12-31,18.87,$2.45,7.72
2013-03-31,32.16,$1.03,31.19
2011-09-30,18.06,$1.19,15.12
2011-06-30,25.23,$0.90,28.01
2011-03-31,24.57,$1.15,21.38
2010-12-31,24.08,$1.20,20.06
2010-09-30,21.52,$1.49,14.4
2010-06-30,19.15,$1.72,11.16
2010-03-31,22.08,$1.33,16.63
2009-12-31,18.96,$1.06,17.94
