Franklin Resources Price to Free Cash Flow Ratio Historical Data,Franklin Resources Price to Free Cash Flow Ratio Historical Data,Franklin Resources Price to Free Cash Flow Ratio Historical Data,Franklin Resources Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-06-21,22.83,,9.38
2024-03-31,28.11,$2.43,11.55
2023-12-31,29.15,$2.04,14.29
2023-09-30,24.05,$2.02,11.93
2023-06-30,25.82,$2.19,11.79
2023-03-31,25.75,$2.59,9.94
2022-12-31,24.93,$2.93,8.51
2022-09-30,20.12,$3.81,5.27
2022-06-30,21.51,$3.06,7.03
2022-03-31,25.44,$1.77,14.37
2021-12-31,30.21,$2.12,14.27
2021-09-30,26.58,$2.38,11.18
2021-06-30,28.35,$2.17,13.07
2021-03-31,26.0,$2.92,8.9
2020-12-31,21.75,$2.49,8.75
2020-09-30,17.51,$2.06,8.52
2020-06-30,17.58,$0.52,33.7
2020-03-31,13.99,$-0.31,0.0
2019-09-30,23.58,$0.07,341.74
2019-06-30,28.18,$3.87,7.28
2019-03-31,26.63,$4.68,5.69
2018-12-31,23.65,$5.52,4.28
2018-09-30,24.03,$6.09,3.94
2019-12-31,21.45,$2.71,7.93
2018-06-30,25.14,$2.96,8.5
2018-03-31,27.01,$2.42,11.18
2017-12-31,30.83,$1.68,18.38
2017-09-30,31.5,$1.90,16.61
2017-06-30,31.56,$2.52,12.53
2017-03-31,29.56,$3.16,9.34
2016-12-31,27.63,$3.10,8.92
2016-09-30,24.71,$2.79,8.85
2016-06-30,23.06,$2.57,8.96
2016-03-31,26.83,$2.46,10.93
2015-12-31,25.18,$3.12,8.08
2015-09-30,25.36,$3.55,7.14
2015-06-30,33.23,$4.02,8.27
2015-03-31,34.68,$4.13,8.4
2014-12-31,37.31,$3.74,9.98
2014-09-30,36.38,$3.33,10.91
2014-06-30,38.45,$2.97,12.94
2014-03-31,35.94,$2.92,12.33
2013-12-31,38.21,$3.17,12.04
2013-09-30,33.39,$3.11,10.73
2013-06-30,29.89,$2.59,11.53
2013-03-31,33.07,$2.04,16.24
2012-12-31,27.51,$1.75,15.72
2012-09-30,26.69,$1.54,17.38
2012-06-30,23.63,$2.13,11.09
2012-03-31,26.34,$2.27,11.58
2011-12-31,20.35,$2.17,9.39
2011-09-30,19.78,$2.24,8.85
2011-06-30,27.09,$1.84,14.75
2011-03-31,25.75,$1.99,12.92
2010-12-31,22.85,$2.17,10.51
2010-09-30,21.92,$2.34,9.38
2010-06-30,17.63,$2.09,8.43
2010-03-31,22.63,$1.52,14.89
2009-12-31,21.46,$1.31,16.43
