Entergy Price to Free Cash Flow Ratio Historical Data,Entergy Price to Free Cash Flow Ratio Historical Data,Entergy Price to Free Cash Flow Ratio Historical Data,Entergy Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-06-24,107.73,,0.0
2024-03-31,104.58,$-2.65,0.0
2023-12-31,98.98,$-0.80,0.0
2023-09-30,89.42,$-2.71,0.0
2023-06-30,93.09,$-5.08,0.0
2023-03-31,101.97,$-8.88,0.0
2022-12-31,105.38,$-12.59,0.0
2022-09-30,93.36,$-20.48,0.0
2022-06-30,103.62,$-18.64,0.0
2022-03-31,106.5,$-16.26,0.0
2021-12-31,101.79,$-19.50,0.0
2021-09-30,88.85,$-16.64,0.0
2021-06-30,88.43,$-18.12,0.0
2021-03-31,87.45,$-17.12,0.0
2020-12-31,86.9,$-11.20,0.0
2020-09-30,85.02,$-7.81,0.0
2020-06-30,80.22,$-6.94,0.0
2020-03-31,79.56,$-8.07,0.0
2019-12-31,100.71,$-8.38,0.0
2019-09-30,97.88,$-7.75,0.0
2019-06-30,85.11,$-9.43,0.0
2019-03-31,79.08,$-8.78,0.0
2018-12-31,70.45,$-8.50,0.0
2018-09-30,65.71,$-6.10,0.0
2018-06-30,64.74,$-4.99,0.0
2018-03-31,62.41,$-6.25,0.0
2017-12-31,63.7,$-4.99,0.0
2017-09-30,59.15,$-4.42,0.0
2017-06-30,58.81,$-2.75,0.0
2017-03-31,57.53,$1.10,52.19
2016-12-31,54.96,$-3.97,0.0
2016-09-30,56.71,$-0.24,0.0
2016-06-30,59.49,$0.40,147.14
2016-03-31,57.33,$0.96,59.54
2015-12-31,48.85,$7.27,6.72
2015-09-30,45.92,$5.76,7.97
2015-06-30,49.14,$7.85,6.26
2015-03-31,53.41,$8.51,6.28
2014-12-31,59.69,$9.88,6.04
2014-09-30,52.25,$11.17,4.68
2014-06-30,54.83,$9.88,5.55
2014-03-31,44.15,$8.07,5.47
2013-12-31,41.24,$5.78,7.13
2013-09-30,40.66,$-0.70,0.0
2013-06-30,44.28,$-1.43,0.0
2013-03-31,39.71,$-1.77,0.0
2012-12-31,39.52,$-1.07,0.0
2012-09-30,42.43,$2.37,17.89
2012-06-30,41.09,$3.87,10.62
2012-03-31,40.15,$3.60,11.16
2011-12-31,43.13,$2.48,17.38
2011-09-30,38.67,$3.09,12.53
2011-06-30,39.3,$5.76,6.82
2011-03-31,38.22,$8.30,4.61
2010-12-31,39.83,$10.39,3.83
2010-09-30,42.55,$10.93,3.89
2010-06-30,39.41,$7.57,5.21
2010-03-31,44.29,$6.71,6.6
2009-12-31,44.12,$5.12,8.62
