Broadridge Financial Solutions Price to Free Cash Flow Ratio Historical Data,Broadridge Financial Solutions Price to Free Cash Flow Ratio Historical Data,Broadridge Financial Solutions Price to Free Cash Flow Ratio Historical Data,Broadridge Financial Solutions Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-06-21,200.79,,24.93
2024-03-31,204.02,$8.06,25.33
2023-12-31,204.09,$8.02,25.46
2023-09-30,176.88,$7.48,23.65
2023-06-30,162.93,$6.29,25.92
2023-03-31,143.52,$4.10,35.02
2022-12-31,130.64,$3.21,40.75
2022-09-30,139.85,$2.57,54.41
2022-06-30,137.54,$3.13,44.0
2022-03-31,149.52,$3.00,49.83
2021-12-31,174.77,$3.26,53.61
2021-09-30,158.73,$3.88,40.91
2021-06-30,153.29,$4.73,32.4
2021-03-31,144.77,$4.72,30.65
2020-12-31,144.29,$4.97,29.05
2020-09-30,123.84,$4.75,26.06
2020-06-30,117.89,$4.27,27.61
2020-03-31,88.19,$3.84,22.98
2019-12-31,114.24,$3.88,29.45
2019-09-30,114.55,$-1.28,0.0
2019-06-30,117.03,$2.89,40.44
2019-03-31,94.69,$0.71,134.32
2018-12-31,87.49,$1.51,57.78
2018-06-30,103.74,$4.95,20.97
2018-03-31,98.55,$4.25,23.18
2017-12-31,81.1,$4.38,18.52
2017-09-30,72.07,$3.09,23.32
2017-06-30,67.07,$3.33,20.14
2017-03-31,60.05,$2.78,21.63
2016-12-31,58.31,$2.56,22.81
2016-09-30,59.32,$2.46,24.09
2016-06-30,56.78,$2.98,19.06
2016-03-31,51.41,$2.85,18.06
2015-12-31,46.33,$2.60,17.79
2015-09-30,47.45,$2.53,18.74
2015-06-30,42.63,$2.95,14.47
2015-03-31,46.65,$2.63,17.74
2014-12-31,38.96,$2.72,14.35
2014-09-30,34.9,$3.02,11.56
2014-06-30,34.69,$2.80,12.39
2014-03-31,30.79,$2.75,11.18
2013-12-31,32.58,$1.94,16.77
2013-09-30,26.03,$1.90,13.7
2013-06-30,21.64,$1.86,11.66
2013-03-31,20.09,$1.72,11.66
2012-12-31,18.37,$1.88,9.76
2012-09-30,18.59,$2.77,6.71
2012-06-30,16.82,$2.01,8.35
2012-03-31,18.76,$0.78,23.96
2011-12-31,17.58,$1.85,9.48
2018-09-30,119.35,$0.38,313.25
2011-09-30,15.59,$1.65,9.45
2011-06-30,18.48,$1.26,14.66
2011-03-31,17.3,$1.28,13.47
2010-12-31,16.61,$1.63,10.21
2010-09-30,17.2,$1.86,9.26
2010-06-30,14.23,$2.28,6.24
2010-03-31,15.86,$2.08,7.63
2009-12-31,16.63,$2.53,6.58
