Moody's Price to Free Cash Flow Ratio Historical Data,Moody's Price to Free Cash Flow Ratio Historical Data,Moody's Price to Free Cash Flow Ratio Historical Data,Moody's Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-06-21,421.89,,37.97
2024-03-31,392.22,$11.11,35.3
2023-12-31,388.89,$10.22,38.06
2023-09-30,314.15,$9.61,32.68
2023-06-30,344.7,$8.95,38.53
2023-03-31,302.62,$7.15,42.35
2022-12-31,274.8,$6.45,42.62
2022-09-30,239.21,$6.09,39.28
2022-06-30,267.02,$6.80,39.25
2022-03-31,330.45,$8.63,38.29
2021-12-31,381.7,$9.93,38.44
2021-09-30,346.48,$12.07,28.71
2021-06-30,352.98,$12.48,28.29
2021-03-31,290.31,$12.59,23.05
2020-12-31,281.55,$10.79,26.09
2020-09-30,280.6,$9.86,28.44
2020-06-30,265.43,$9.48,28.0
2020-03-31,203.89,$8.29,24.59
2019-12-31,228.39,$8.38,27.25
2019-09-30,196.61,$7.73,25.42
2019-06-30,187.04,$6.99,26.77
2019-03-31,172.96,$6.91,25.02
2018-12-31,133.36,$7.05,18.92
2018-09-30,158.75,$7.23,21.96
2018-06-30,161.53,$7.65,21.11
2018-03-31,152.37,$8.09,18.84
2017-12-31,139.07,$3.42,40.67
2017-09-30,130.82,$3.16,41.4
2017-06-30,114.02,$2.91,39.17
2017-03-31,104.63,$1.97,53.04
2016-12-31,87.73,$5.85,14.99
2016-09-30,100.41,$5.50,18.24
2016-06-30,86.59,$5.26,16.47
2016-03-31,88.87,$5.43,16.38
2015-12-31,91.96,$5.45,16.86
2015-09-30,89.7,$5.44,16.5
2015-06-30,98.31,$5.16,19.04
2015-03-31,94.23,$4.85,19.43
2014-12-31,86.68,$4.40,19.71
2014-09-30,85.26,$4.20,20.29
2014-06-30,78.85,$4.35,18.13
2014-03-31,71.1,$3.83,18.58
2013-12-31,70.09,$3.96,17.71
2013-09-30,62.61,$4.20,14.91
2013-06-30,54.03,$4.05,13.36
2013-03-31,47.14,$4.08,11.55
2012-12-31,44.3,$3.43,12.9
2012-09-30,38.75,$2.57,15.08
2012-06-30,31.93,$2.37,13.45
2012-03-31,36.62,$2.63,13.93
2011-12-31,29.17,$3.21,9.1
2011-09-30,26.26,$3.32,7.91
2011-06-30,32.93,$3.06,10.75
2011-03-31,29.01,$2.59,11.19
2010-12-31,22.62,$2.43,9.32
2010-09-30,21.21,$2.46,8.62
2010-06-30,16.83,$2.25,7.5
2010-03-31,25.02,$2.17,11.52
2009-12-31,22.45,$2.33,9.65
