Uber Technologies Price to Free Cash Flow Ratio Historical Data,Uber Technologies Price to Free Cash Flow Ratio Historical Data,Uber Technologies Price to Free Cash Flow Ratio Historical Data,Uber Technologies Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-06-21,70.21,,35.33
2024-03-31,76.99,$1.99,38.74
2023-12-31,61.57,$1.61,38.31
2023-09-30,45.99,$1.08,42.67
2023-06-30,43.17,$0.84,51.41
2023-03-31,31.7,$0.49,64.08
2022-12-31,24.73,$0.20,125.22
2022-09-30,26.5,$0.25,105.62
2022-06-30,20.46,$0.33,61.94
2022-03-31,35.68,$-0.05,0.0
2021-12-31,41.93,$-0.39,0.0
2021-09-30,44.8,$-0.82,0.0
2021-06-30,50.12,$-1.38,0.0
2021-03-31,54.51,$-1.90,0.0
2020-12-31,51.0,$-1.92,0.0
2020-09-30,36.48,$-3.62,0.0
2020-06-30,31.08,$-3.33,0.0
2020-03-31,27.92,$-4.32,0.0
