Dayforce Price to Free Cash Flow Ratio Historical Data,Dayforce Price to Free Cash Flow Ratio Historical Data,Dayforce Price to Free Cash Flow Ratio Historical Data,Dayforce Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-06-21,50.17,,76.72
2024-03-31,66.21,$0.65,101.25
2023-12-31,67.12,$0.66,101.22
2023-09-30,67.85,$0.35,196.44
2023-06-30,66.97,$0.50,132.93
2023-03-31,73.22,$0.24,310.91
2022-12-31,64.15,$0.25,257.42
2022-09-30,55.88,$0.30,185.83
2022-06-30,47.08,$0.18,254.62
2022-03-31,68.36,$0.19,357.34
2021-12-31,104.46,$0.15,683.19
2021-09-30,112.62,$-0.61,0.0
2021-06-30,95.92,$-0.63,0.0
2021-03-31,84.27,$-0.65,0.0
2020-12-31,106.56,$-0.61,0.0
2020-09-30,82.65,$0.08,999.4
2020-06-30,79.27,$0.04,1981.75
2020-03-31,50.07,$0.03,1691.55
2019-12-31,67.88,$-0.03,0.0
2019-09-30,49.37,$-0.04,0.0
2019-06-30,50.2,$0.10,511.2
2019-03-31,51.3,$-0.42,0.0
