Akamai Technologies Price to Free Cash Flow Ratio Historical Data,Akamai Technologies Price to Free Cash Flow Ratio Historical Data,Akamai Technologies Price to Free Cash Flow Ratio Historical Data,Akamai Technologies Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-06-24,88.74,,17.61
2024-03-31,108.76,$5.04,21.59
2023-12-31,118.35,$3.98,29.74
2023-09-30,106.54,$3.75,28.42
2023-06-30,89.87,$4.46,20.17
2023-03-31,78.3,$4.60,17.01
2022-12-31,84.3,$5.09,16.57
2022-09-30,80.32,$5.36,14.97
2022-06-30,91.33,$5.27,17.33
2022-03-31,119.39,$5.23,22.85
2021-12-31,117.04,$5.18,22.58
2021-09-30,104.59,$4.27,24.52
2021-06-30,116.6,$3.65,31.94
2021-03-31,101.9,$3.39,30.06
2020-12-31,104.99,$2.92,35.9
2020-09-30,110.54,$3.06,36.12
2020-06-30,107.09,$2.92,36.73
2020-03-31,91.49,$2.95,31.0
2019-12-31,86.38,$3.02,28.65
2019-09-30,91.38,$3.09,29.56
2019-06-30,80.14,$3.57,22.43
2019-03-31,71.71,$3.21,22.31
2018-12-31,61.08,$3.56,17.15
2018-09-30,73.15,$3.10,23.63
2018-06-30,73.23,$2.42,30.23
2018-03-31,70.98,$2.40,29.56
2017-12-31,65.04,$2.24,29.09
2017-09-30,48.72,$2.33,20.91
2017-06-30,49.81,$2.62,18.98
2017-03-31,59.7,$2.83,21.08
2016-12-31,66.68,$3.15,21.15
2016-09-30,52.99,$3.48,15.23
2016-06-30,55.93,$2.77,20.2
2016-03-31,55.57,$2.75,20.19
2015-12-31,52.63,$1.93,27.25
2015-09-30,69.06,$1.57,44.06
2015-06-30,69.82,$1.85,37.71
2015-03-31,71.05,$1.64,43.34
2014-12-31,62.96,$1.87,33.61
2014-09-30,59.8,$1.90,31.41
2014-06-30,61.06,$1.88,32.49
2014-03-31,58.21,$1.52,38.32
2013-12-31,47.18,$1.67,28.23
2013-09-30,51.7,$1.57,32.97
2013-06-30,42.55,$1.45,29.35
2013-03-31,35.32,$0.44,80.46
2012-12-31,40.91,$0.73,56.15
2012-09-30,38.26,$0.62,61.76
2012-06-30,31.75,$0.57,56.05
2011-12-31,32.28,$1.44,22.39
2011-09-30,19.88,$1.81,11.0
2011-06-30,31.47,$1.69,18.61
2011-03-31,38.0,$1.72,22.08
2010-12-31,47.05,$1.60,29.33
2012-03-31,36.7,$1.05,35.03
2010-09-30,50.18,$1.28,39.12
2010-06-30,40.57,$1.29,31.54
2010-03-31,31.42,$1.60,19.68
2009-12-31,25.34,$1.68,15.11
