Pentair Price to Free Cash Flow Ratio Historical Data,Pentair Price to Free Cash Flow Ratio Historical Data,Pentair Price to Free Cash Flow Ratio Historical Data,Pentair Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-06-21,79.47,,94.95
2024-03-31,85.19,$0.84,101.78
2023-12-31,72.26,$2.03,35.65
2023-09-30,64.13,$1.87,34.21
2023-06-30,63.77,$2.75,23.18
2022-12-31,44.02,$1.70,25.83
2022-09-30,39.55,$5.34,7.41
2022-06-30,44.35,$4.16,10.66
2022-03-31,52.32,$3.42,15.31
2021-12-31,70.26,$6.51,10.79
2023-03-31,54.33,$2.27,23.91
2021-09-30,69.69,$3.34,20.86
2021-06-30,64.57,$3.67,17.61
2021-03-31,59.44,$3.96,15.02
2020-12-31,50.46,$3.06,16.51
2020-09-30,43.34,$3.15,13.75
2020-06-30,35.81,$2.75,13.01
2020-03-31,27.88,$2.24,12.45
2019-12-31,42.8,$1.73,24.71
2019-09-30,35.11,$2.09,16.81
2019-06-30,34.38,$1.75,19.6
2019-03-31,40.95,$1.61,25.41
2018-12-31,34.6,$2.21,15.69
2018-09-30,39.52,$2.76,14.33
2018-06-30,38.21,$3.29,11.63
2018-03-31,41.93,$2.90,14.45
2017-12-31,43.26,$3.18,13.59
2017-09-30,41.43,$3.77,10.98
2017-06-30,40.35,$3.60,11.2
2017-03-31,37.86,$0.29,129.44
2016-12-31,33.63,$2.75,12.25
2016-09-30,38.3,$1.87,20.47
2016-06-30,34.57,$2.63,13.12
2015-12-31,28.99,$3.57,8.11
2015-09-30,29.7,$3.53,8.42
2015-06-30,39.79,$3.74,10.64
2015-03-31,36.21,$3.98,9.09
2014-12-31,38.04,$4.78,7.95
2014-09-30,37.34,$4.71,7.93
2014-06-30,40.95,$4.50,9.11
2014-03-31,44.9,$3.75,11.97
2013-12-31,43.81,$3.73,11.73
2013-09-30,36.49,$-0.22,0.0
2013-06-30,32.28,$-0.69,0.0
2013-03-31,29.39,$-3.02,0.0
2012-12-31,27.27,$-2.24,0.0
2012-09-30,24.42,$0.79,30.72
2012-06-30,21.01,$2.00,10.49
2011-12-31,18.08,$2.53,7.15
2011-09-30,17.29,$4.24,4.08
2011-06-30,21.68,$3.30,6.57
2011-03-31,20.2,$2.31,8.76
2010-12-31,19.41,$4.43,4.38
2016-03-31,31.99,$1.84,17.35
2010-09-30,17.78,$2.13,8.34
2010-06-30,16.92,$2.38,7.1
2010-03-31,18.63,$2.20,8.48
2009-12-31,16.79,$2.09,8.05
2009-09-30,15.25,$1.21,12.58
