Blackstone Price to Free Cash Flow Ratio Historical Data,Blackstone Price to Free Cash Flow Ratio Historical Data,Blackstone Price to Free Cash Flow Ratio Historical Data,Blackstone Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-06-21,124.12,,21.01
2024-03-31,131.37,$5.91,22.24
2023-12-31,130.92,$5.07,25.8
2023-09-30,107.14,$4.83,22.18
2023-06-30,92.97,$4.39,21.18
2023-03-31,87.84,$4.95,17.75
2022-12-31,74.19,$8.23,9.01
2022-09-30,83.7,$6.18,13.54
2022-06-30,89.98,$7.48,12.04
2022-03-31,123.6,$5.90,20.94
2021-12-31,124.62,$5.45,22.88
2021-09-30,111.18,$6.98,15.93
2021-06-30,92.27,$5.78,15.95
2021-03-31,70.14,$4.36,16.08
2020-12-31,60.18,$2.62,23.0
2020-09-30,48.0,$3.08,15.61
2020-06-30,51.75,$3.64,14.2
2020-03-31,41.3,$4.18,9.88
2019-12-31,50.21,$2.81,17.84
2019-09-30,43.44,$3.13,13.89
2019-06-30,39.13,$4.35,8.99
2019-03-31,30.52,$1.61,18.97
2018-12-31,25.58,$0.05,507.51
2018-09-30,32.67,$-2.52,0.0
2018-06-30,27.16,$-5.99,0.0
2018-03-31,26.67,$-4.36,0.0
2017-12-31,26.06,$-2.44,0.0
2017-09-30,26.8,$-1.67,0.0
2017-06-30,26.36,$-0.65,0.0
2017-03-31,22.84,$0.18,124.32
2016-12-31,20.47,$-0.09,0.0
2016-09-30,19.01,$0.43,43.94
2016-06-30,18.03,$-0.34,0.0
2016-03-31,20.4,$1.39,14.68
2015-12-31,20.79,$1.97,10.56
2015-09-30,21.78,$1.40,15.61
2015-06-30,27.6,$2.15,12.86
2015-03-31,25.7,$1.80,14.32
2014-12-31,21.89,$2.65,8.26
2014-09-30,20.07,$4.71,4.26
2014-06-30,20.99,$6.71,3.13
2014-03-31,20.65,$5.70,3.62
2013-12-31,19.2,$5.96,3.22
2013-09-30,15.05,$4.99,3.02
2013-06-30,12.61,$2.66,4.74
2013-03-31,11.67,$2.65,4.4
2012-12-31,8.99,$1.01,8.87
2012-09-30,8.18,$1.33,6.13
2012-06-30,7.43,$2.12,3.51
2012-03-31,8.99,$1.52,5.92
2011-12-31,7.79,$2.24,3.48
2011-09-30,6.61,$-0.44,0.0
2011-06-30,9.07,$-0.46,0.0
2011-03-31,9.74,$-0.26,0.0
2010-12-31,7.57,$-1.17,0.0
2010-09-30,6.74,$2.50,2.69
2010-06-30,5.03,$-1.10,0.0
2010-03-31,7.3,$-0.62,0.0
2009-12-31,6.71,$1.34,5.0
