S&P Global Price to Free Cash Flow Ratio Historical Data,S&P Global Price to Free Cash Flow Ratio Historical Data,S&P Global Price to Free Cash Flow Ratio Historical Data,S&P Global Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-06-24,444.97,,35.97
2024-03-31,425.45,$12.37,34.39
2023-12-31,439.6,$11.19,39.3
2023-09-30,363.85,$3.30,110.34
2023-06-30,398.26,$2.90,137.49
2023-03-31,341.65,$-0.57,0.0
2022-12-31,331.05,$7.89,41.94
2022-09-30,301.09,$18.76,16.05
2022-06-30,331.61,$20.05,16.54
2022-03-31,402.58,$21.84,18.43
2021-12-31,462.31,$14.74,31.37
2021-09-30,415.54,$15.46,26.87
2021-06-30,400.71,$14.70,27.26
2021-03-31,343.8,$6.75,50.9
2020-12-31,319.52,$7.54,42.36
2020-09-30,349.8,$5.97,58.62
2020-06-30,319.02,$5.51,57.89
2019-12-31,263.19,$10.78,24.42
2019-09-30,235.63,$11.83,19.91
2019-06-30,218.61,$11.60,18.84
2019-03-31,201.53,$10.66,18.91
2018-12-31,162.2,$11.60,13.98
2020-03-31,236.76,$7.93,29.86
2018-09-30,185.97,$8.12,22.91
2018-06-30,193.58,$8.26,23.43
2018-03-31,180.95,$7.33,24.68
2017-12-31,160.02,$7.31,21.89
2017-09-30,147.29,$5.34,27.6
2017-06-30,137.19,$5.56,24.67
2017-03-31,122.5,$6.71,18.25
