AMETEK Price to Free Cash Flow Ratio Historical Data,AMETEK Price to Free Cash Flow Ratio Historical Data,AMETEK Price to Free Cash Flow Ratio Historical Data,AMETEK Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-06-21,168.67,,24.2
2024-03-31,182.59,$6.97,26.19
2023-12-31,164.36,$6.91,23.8
2023-09-30,147.05,$6.23,23.62
2023-06-30,160.84,$5.61,28.65
2023-03-31,144.15,$5.20,27.73
2022-12-31,138.34,$4.36,31.7
2022-09-30,112.11,$3.99,28.1
2022-06-30,108.44,$3.89,27.84
2022-03-31,131.18,$4.11,31.91
2021-12-31,144.59,$4.51,32.07
2021-09-30,121.77,$5.00,24.37
2021-06-30,130.89,$5.08,25.79
2021-03-31,125.05,$5.27,23.73
2020-12-31,118.2,$5.22,22.64
2020-09-30,97.0,$5.02,19.31
2020-06-30,87.06,$5.09,17.09
2020-03-31,70.01,$4.75,14.75
2019-12-31,96.7,$4.41,21.92
2019-09-30,88.9,$4.23,21.04
2019-06-30,87.81,$3.86,22.77
2019-03-31,80.07,$3.68,21.76
2018-12-31,65.22,$3.62,18.0
2018-09-30,76.08,$3.46,21.97
2018-06-30,69.26,$3.42,20.23
2018-03-31,72.79,$3.42,21.28
2017-12-31,69.31,$3.27,21.19
2017-09-30,63.08,$3.25,19.38
2017-06-30,57.77,$2.98,19.39
2017-03-31,51.51,$2.93,17.57
2016-12-31,46.21,$2.97,15.57
2016-09-30,45.35,$2.74,16.55
2016-06-30,43.79,$2.78,15.78
2016-03-31,47.26,$2.65,17.83
2015-12-31,50.58,$2.50,20.25
2015-09-30,49.3,$2.54,19.38
2015-06-30,51.53,$2.56,20.17
2015-03-31,49.34,$2.50,19.74
2014-12-31,49.34,$2.65,18.62
2014-09-30,46.99,$2.62,17.91
2014-06-30,48.84,$2.52,19.41
2014-03-31,48.02,$2.43,19.8
2013-12-31,49.07,$2.43,20.21
2013-09-30,42.82,$2.38,18.01
2013-06-30,39.31,$2.37,16.56
2013-03-31,40.23,$2.32,17.31
2012-12-31,34.81,$2.27,15.3
2012-09-30,32.8,$2.14,15.36
2012-06-30,30.73,$2.04,15.07
2012-03-31,29.81,$2.04,14.59
2011-12-31,25.84,$1.88,13.73
2011-09-30,20.21,$1.79,11.3
2011-06-30,27.48,$1.71,16.1
2011-03-31,26.81,$1.62,16.57
2010-12-31,23.95,$1.59,15.06
2010-09-30,19.41,$1.53,12.7
2010-06-30,16.29,$1.37,11.9
2010-03-31,16.8,$1.29,13.02
2009-12-31,15.47,$1.37,11.32
