Vulcan Materials Price to Free Cash Flow Ratio Historical Data,Vulcan Materials Price to Free Cash Flow Ratio Historical Data,Vulcan Materials Price to Free Cash Flow Ratio Historical Data,Vulcan Materials Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-06-21,247.81,,44.07
2024-03-31,272.43,$5.62,48.45
2023-12-31,226.22,$5.68,39.86
2023-09-30,200.9,$4.89,41.08
2023-06-30,223.76,$5.26,42.57
2023-03-31,169.91,$4.36,39.0
2022-12-31,173.02,$4.30,40.25
2022-09-30,155.47,$3.85,40.38
2022-06-30,139.77,$3.19,43.82
2022-03-31,180.25,$4.07,44.3
2021-12-31,203.23,$5.82,34.91
2021-09-30,165.31,$6.00,27.56
2021-06-30,169.77,$6.83,24.86
2021-03-31,164.26,$7.75,21.2
2020-12-31,144.04,$5.40,26.66
2020-09-30,131.32,$5.92,22.17
2020-06-30,111.95,$5.56,20.14
2020-03-31,104.08,$4.23,24.6
2019-12-31,138.3,$4.67,29.63
2019-09-30,144.94,$3.74,38.71
2019-06-30,131.3,$3.26,40.29
2019-03-31,112.94,$3.14,35.97
2018-12-31,93.99,$2.88,32.62
2018-09-30,105.5,$2.94,35.87
2018-06-30,122.13,$2.71,45.05
2018-03-31,107.81,$1.51,71.17
2017-12-31,120.94,$1.49,81.21
2017-09-30,112.45,$1.75,64.11
2017-06-30,118.84,$1.71,69.65
2017-03-31,112.8,$2.20,51.34
2016-12-31,116.93,$2.34,49.97
2016-09-30,106.1,$2.15,49.4
2016-06-30,112.09,$2.05,54.65
2016-03-31,98.15,$1.84,53.3
2015-12-31,88.12,$1.77,49.91
2015-09-30,82.68,$0.98,84.58
2015-06-30,77.71,$0.42,184.94
2015-03-31,77.97,$0.51,153.88
2014-12-31,60.72,$0.47,129.86
2014-09-30,55.59,$-0.44,0.0
2014-06-30,58.78,$0.98,59.69
2014-03-31,61.22,$0.79,77.26
2013-12-31,54.7,$0.75,72.87
2013-09-30,47.69,$2.38,20.04
2013-06-30,44.55,$1.04,42.85
2013-03-31,47.57,$1.29,36.98
2012-12-31,47.88,$1.74,27.49
2012-09-30,43.5,$0.78,55.92
2012-06-30,36.51,$0.86,42.56
2012-03-31,39.28,$0.65,60.26
2011-12-31,36.16,$0.65,55.83
2011-09-30,25.32,$0.91,27.93
2011-06-30,35.14,$0.88,39.87
2011-03-31,41.32,$1.27,32.53
2010-12-31,39.97,$1.02,39.37
2010-09-30,33.05,$1.44,22.92
2010-06-30,38.98,$1.87,20.85
2010-03-31,41.8,$2.18,19.17
2009-12-31,46.34,$3.02,15.33
