Quanta Services Price to Free Cash Flow Ratio Historical Data,Quanta Services Price to Free Cash Flow Ratio Historical Data,Quanta Services Price to Free Cash Flow Ratio Historical Data,Quanta Services Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-06-24,274.23,,29.34
2024-03-31,259.71,$9.35,27.78
2023-12-31,215.73,$11.90,18.14
2023-06-30,196.22,$5.30,37.03
2023-03-31,166.29,$5.08,32.73
2022-12-31,142.2,$5.18,27.44
2022-09-30,127.05,$2.18,58.24
2022-06-30,124.94,$0.47,266.17
2022-03-31,131.05,$1.24,105.33
2021-12-31,114.1,$1.69,67.35
2021-09-30,113.26,$2.28,49.67
2021-06-30,90.08,$3.02,29.87
2021-03-31,87.39,$5.36,16.31
2020-12-31,71.54,$6.14,11.66
2020-09-30,52.46,$8.72,6.02
2020-06-30,38.9,$8.46,4.6
2020-03-31,31.37,$4.08,7.68
2019-12-31,40.25,$2.01,20.06
2019-09-30,37.32,$-1.41,0.0
2019-06-30,37.67,$-3.16,0.0
2019-03-31,37.15,$-0.63,0.0
2018-12-31,29.63,$0.85,34.81
2018-09-30,32.86,$0.11,288.22
2023-09-30,186.93,$2.47,75.54
2018-06-30,32.88,$1.85,17.77
2018-03-31,33.81,$1.03,32.77
2017-12-31,38.5,$0.96,40.18
2017-09-30,36.78,$0.91,40.21
2017-06-30,32.4,$-0.44,0.0
2017-03-31,36.53,$-0.03,0.0
2016-12-31,34.3,$1.27,26.96
2016-09-30,27.55,$1.49,18.43
2016-06-30,22.76,$2.59,8.8
2016-03-31,22.21,$2.71,8.18
2015-12-31,19.93,$2.28,8.74
2015-09-30,23.83,$2.20,10.84
2015-06-30,28.37,$1.66,17.07
2015-03-31,28.08,$1.23,22.89
2014-12-31,27.95,$0.07,409.75
2014-09-30,35.72,$-0.27,0.0
2014-06-30,34.04,$-0.04,0.0
2014-03-31,36.32,$0.23,161.29
2013-12-31,31.07,$0.76,40.87
2013-09-30,27.08,$0.74,36.57
2013-06-30,26.05,$0.04,600.12
2013-03-31,28.13,$0.30,94.75
2012-12-31,26.86,$-0.14,0.0
2012-09-30,24.31,$-0.31,0.0
2012-06-30,23.69,$0.23,105.11
2012-03-31,20.57,$-0.08,0.0
2011-12-31,21.2,$0.24,88.75
2011-09-30,18.5,$0.86,21.57
2011-06-30,19.88,$0.47,42.0
2011-03-31,22.08,$0.47,47.07
2010-12-31,19.61,$0.46,42.42
2010-09-30,18.78,$-0.23,0.0
2010-06-30,20.33,$0.49,41.8
2010-03-31,18.86,$0.55,34.4
2009-12-31,20.51,$1.10,18.69
