MGM Resorts Price to Free Cash Flow Ratio Historical Data,MGM Resorts Price to Free Cash Flow Ratio Historical Data,MGM Resorts Price to Free Cash Flow Ratio Historical Data,MGM Resorts Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-06-24,42.45,,9.1
2024-03-31,47.21,$4.67,10.12
2023-12-31,44.68,$6.20,7.2
2023-09-30,36.76,$8.20,4.48
2023-06-30,43.92,$7.26,6.05
2023-03-31,44.42,$7.20,6.17
2022-12-31,33.53,$5.22,6.42
2022-09-30,29.72,$3.10,9.6
2022-06-30,28.95,$3.31,8.74
2022-03-31,41.93,$3.09,13.56
2021-12-31,44.87,$2.03,22.1
2021-09-30,43.14,$0.52,82.73
2021-06-30,42.63,$-0.68,0.0
2021-03-31,37.97,$-2.89,0.0
2020-12-31,31.49,$-3.56,0.0
2020-09-30,21.74,$-1.51,0.0
2020-06-30,16.79,$-1.66,0.0
2020-03-31,11.79,$0.63,18.59
2019-12-31,32.97,$2.04,16.2
2019-09-30,27.36,$0.81,33.72
2019-06-30,28.07,$1.27,22.18
2019-03-31,25.08,$0.60,41.77
2018-12-31,23.6,$0.48,49.63
2018-09-30,27.02,$0.72,37.71
2018-06-30,27.98,$0.90,31.23
2018-03-31,33.63,$0.96,35.1
2017-12-31,31.96,$0.59,53.92
2017-09-30,31.09,$-0.13,0.0
2017-06-30,29.75,$-0.53,0.0
2017-03-31,25.96,$-0.99,0.0
2016-12-31,27.2,$-1.26,0.0
2016-09-30,24.56,$-1.35,0.0
2016-06-30,21.35,$-1.24,0.0
2016-03-31,20.23,$-0.99,0.0
2015-12-31,21.44,$-0.84,0.0
2015-09-30,17.41,$-0.71,0.0
2015-06-30,17.22,$-0.52,0.0
2015-03-31,19.84,$0.15,133.44
2014-12-31,20.17,$0.54,37.18
2014-09-30,21.49,$0.93,23.16
2014-06-30,24.91,$1.41,17.61
2014-03-31,24.4,$1.56,15.66
2013-12-31,22.19,$1.57,14.18
2013-09-30,19.29,$1.29,14.92
2013-06-30,13.95,$1.39,10.06
2013-03-31,12.41,$0.53,23.55
2012-12-31,10.98,$0.37,29.49
2012-09-30,10.14,$0.79,12.91
2012-06-30,10.53,$0.63,16.79
2011-12-31,9.84,$0.67,14.75
2011-09-30,8.77,$1.09,8.04
2011-06-30,12.46,$1.21,10.28
2011-03-31,12.41,$0.78,15.88
2010-12-31,14.01,$1.64,8.54
2012-03-31,12.85,$0.95,13.53
2010-09-30,10.64,$0.89,11.96
2010-06-30,9.1,$1.03,8.84
2010-03-31,11.32,$0.75,15.04
2009-12-31,8.61,$1.25,6.88
