Brown & Brown Price to Free Cash Flow Ratio Historical Data,Brown & Brown Price to Free Cash Flow Ratio Historical Data,Brown & Brown Price to Free Cash Flow Ratio Historical Data,Brown & Brown Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-06-21,93.02,,26.31
2024-03-31,87.4,$3.54,24.72
2023-12-31,70.88,$3.73,19.01
2023-09-30,69.49,$3.55,19.6
2023-06-30,68.38,$3.31,20.63
2023-03-31,56.93,$3.05,18.68
2022-12-31,56.38,$3.19,17.66
2022-09-30,59.73,$2.69,22.24
2022-06-30,57.53,$2.70,21.34
2022-03-31,71.14,$2.69,26.43
2021-12-31,69.08,$2.81,24.55
2021-09-30,54.41,$2.76,19.74
2021-06-30,52.06,$2.29,22.77
2021-03-31,44.7,$2.76,16.21
2020-12-31,46.27,$2.36,19.57
2020-09-30,44.09,$2.59,17.0
2020-06-30,39.62,$2.68,14.8
2020-03-31,35.13,$2.41,14.57
2019-12-31,38.22,$2.28,16.75
2019-09-30,34.83,$2.19,15.87
2019-06-30,32.29,$1.98,16.35
2019-03-31,28.37,$1.61,17.63
2018-12-31,26.42,$1.93,13.71
2018-09-30,28.27,$1.62,17.43
2018-06-30,26.44,$1.52,17.35
2018-03-31,24.19,$1.46,16.59
2017-12-31,24.4,$1.52,16.05
2017-09-30,22.78,$1.42,16.01
2017-06-30,20.29,$1.54,13.18
2017-03-31,19.6,$1.65,11.91
2016-12-31,21.0,$1.44,14.54
2016-09-30,17.59,$1.45,12.17
2016-06-30,17.42,$1.39,12.58
2016-03-31,16.59,$1.27,13.06
2015-12-31,14.81,$1.33,11.1
2015-09-30,14.24,$1.38,10.34
2015-06-30,15.06,$1.52,9.93
2015-03-31,15.12,$1.27,11.94
2014-12-31,14.98,$1.31,11.45
2014-09-30,14.58,$1.22,11.96
2014-06-30,13.88,$1.16,11.93
2014-03-31,13.86,$1.08,12.84
2013-12-31,14.1,$1.33,10.61
2013-09-30,14.37,$1.17,12.26
2013-06-30,14.39,$1.12,12.8
2013-03-31,14.26,$1.13,12.67
2012-12-31,11.3,$0.74,15.25
2012-09-30,11.53,$0.74,15.56
2012-06-30,12.02,$0.76,15.83
2012-03-31,10.45,$0.72,14.46
2011-12-31,9.9,$0.81,12.21
2011-09-30,7.76,$0.93,8.35
2011-06-30,11.14,$0.87,12.84
2011-03-31,11.17,$0.94,11.84
2010-12-31,10.33,$1.03,10.02
2010-09-30,8.68,$0.90,9.65
2010-06-30,8.2,$0.70,11.71
2010-03-31,7.64,$0.70,10.88
2009-12-31,7.63,$0.77,9.92
