Emerson Electric Price to Free Cash Flow Ratio Historical Data,Emerson Electric Price to Free Cash Flow Ratio Historical Data,Emerson Electric Price to Free Cash Flow Ratio Historical Data,Emerson Electric Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-06-21,108.41,,68.68
2024-03-31,112.89,$1.58,71.52
2023-12-31,96.4,$0.45,213.13
2023-09-30,95.08,$0.47,200.33
2023-06-30,88.51,$3.76,23.51
2023-03-31,84.79,$3.65,23.22
2022-12-31,92.91,$4.26,21.82
2022-09-30,70.41,$4.40,16.01
2022-06-30,76.04,$3.86,19.7
2022-03-31,93.16,$4.34,21.46
2021-12-31,87.86,$4.88,18.0
2021-09-30,88.55,$5.27,16.81
2021-06-30,90.04,$5.59,16.11
2021-03-31,83.96,$5.22,16.09
2020-12-31,74.35,$4.83,15.39
2020-09-30,60.25,$4.20,14.36
2020-06-30,56.59,$4.16,13.62
2020-03-31,43.07,$4.23,10.17
2019-12-31,68.46,$4.12,16.6
2019-09-30,59.61,$3.89,15.34
2019-06-30,58.98,$3.40,17.35
2019-03-31,60.07,$3.34,17.97
2018-12-31,52.04,$3.30,15.77
2018-09-30,66.23,$3.58,18.49
2018-06-30,59.4,$3.51,16.92
2018-03-31,58.29,$3.08,18.95
2017-12-31,59.07,$2.57,23.02
2017-09-30,52.83,$2.23,23.67
2017-06-30,49.73,$2.43,20.51
2017-03-31,49.52,$2.55,19.4
2016-12-31,45.78,$3.42,13.38
2016-09-30,44.35,$3.76,11.78
2016-06-30,42.06,$4.02,10.46
2016-03-31,43.46,$3.58,12.14
2015-12-31,37.83,$2.90,13.04
2015-09-30,34.59,$2.87,12.06
2015-06-30,43.0,$3.25,13.23
2015-03-31,43.59,$3.92,11.12
2014-12-31,47.13,$4.20,11.22
2014-09-30,47.44,$4.32,10.98
2014-06-30,49.96,$4.10,12.19
2014-03-31,49.97,$4.08,12.25
2013-12-31,52.16,$4.15,12.57
2013-09-30,47.78,$4.11,11.62
2013-06-30,40.01,$3.91,10.24
2013-03-31,40.7,$3.69,11.04
2012-12-31,38.31,$3.58,10.71
2012-09-30,34.62,$3.25,10.65
2012-06-30,33.15,$3.13,10.59
2012-03-31,36.83,$3.11,11.83
2011-12-31,32.63,$3.39,9.62
2011-09-30,28.71,$3.43,8.37
2011-06-30,38.78,$3.47,11.16
2011-03-31,40.03,$3.29,12.15
2010-12-31,38.94,$0.61,64.32
2010-09-30,35.65,$1.87,19.04
2010-06-30,29.38,$1.55,18.94
2010-03-31,33.62,$0.72,46.85
2009-09-30,26.36,$3.37,7.83
