Keysight Technologies Price to Free Cash Flow Ratio Historical Data,Keysight Technologies Price to Free Cash Flow Ratio Historical Data,Keysight Technologies Price to Free Cash Flow Ratio Historical Data,Keysight Technologies Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-06-24,136.91,,27.26
2024-04-30,147.94,$5.02,29.45
2024-01-31,153.26,$6.67,22.99
2023-10-31,122.05,$6.77,18.03
2023-07-31,161.08,$6.72,23.97
2023-04-30,144.64,$6.71,21.55
2023-01-31,179.35,$5.98,29.99
2022-10-31,174.15,$5.27,33.05
2022-07-31,162.6,$4.97,32.7
2022-04-30,140.27,$5.07,27.66
2022-01-31,168.82,$5.71,29.58
2021-10-31,180.02,$6.14,29.32
2021-07-31,164.55,$6.23,26.4
2021-04-30,144.35,$5.83,24.76
2021-01-31,141.59,$5.31,26.65
2020-10-31,104.87,$4.76,22.05
2020-07-31,99.89,$4.33,23.07
2020-04-30,96.77,$4.83,20.05
2020-01-31,92.99,$4.36,21.32
2019-10-31,100.91,$4.60,21.95
2019-07-31,89.52,$4.58,19.54
2019-04-30,87.03,$3.29,26.48
2019-01-31,74.02,$2.69,27.53
2018-10-31,57.08,$2.37,24.12
2018-07-31,58.0,$1.39,41.68
2018-04-30,51.68,$1.81,28.57
2018-01-31,46.72,$1.57,29.84
2017-10-31,44.67,$1.41,31.76
2017-07-31,41.59,$1.86,22.32
2017-04-30,37.43,$1.78,21.07
2017-01-31,37.07,$2.14,17.35
2016-10-31,32.8,$1.91,17.15
2016-07-31,29.24,$1.56,18.72
2016-04-30,26.08,$1.83,14.29
2016-01-31,23.4,$1.52,15.39
2015-10-31,33.08,$1.67,19.85
2015-07-31,30.54,$4.28,7.13
