Schlumberger Price to Free Cash Flow Ratio Historical Data,Schlumberger Price to Free Cash Flow Ratio Historical Data,Schlumberger Price to Free Cash Flow Ratio Historical Data,Schlumberger Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-06-21,45.66,,14.0
2024-03-31,54.81,$3.26,16.81
2023-12-31,51.74,$3.26,15.89
2023-09-30,57.68,$2.30,25.07
2023-06-30,48.4,$2.27,21.32
2023-03-31,48.12,$1.61,29.86
2022-12-31,52.15,$1.55,33.73
2022-09-30,34.9,$1.86,18.79
2022-06-30,34.61,$1.56,22.24
2022-03-31,39.82,$2.16,18.42
2021-12-31,28.78,$2.46,11.7
2021-09-30,28.36,$1.87,15.17
2021-06-30,30.49,$1.50,20.31
2021-03-31,25.8,$1.22,21.15
2020-12-31,20.62,$1.32,15.68
2020-09-30,14.61,$2.14,6.83
2020-06-30,17.15,$2.90,5.91
2020-03-31,12.5,$3.01,4.15
2019-12-31,36.71,$2.68,13.72
2019-09-30,30.77,$2.63,11.68
2019-06-30,35.23,$2.58,13.68
2019-03-31,38.09,$2.41,15.83
2018-12-31,31.19,$2.55,12.23
2018-09-30,52.66,$2.50,21.07
2018-06-30,57.47,$2.53,22.76
2018-03-31,55.14,$2.45,22.53
2017-12-31,56.96,$2.56,22.23
2017-09-30,58.5,$2.45,23.84
2017-06-30,54.78,$2.23,24.61
2017-03-31,64.52,$2.77,23.29
2016-12-31,68.93,$3.10,22.24
2016-09-30,64.19,$3.24,19.81
2016-06-30,64.14,$4.08,15.7
2016-03-31,59.43,$4.63,12.82
2015-12-31,55.81,$5.02,11.13
2015-09-30,54.83,$5.88,9.33
2015-06-30,68.08,$5.93,11.49
2015-03-31,65.55,$5.69,11.53
2014-12-31,66.71,$5.52,12.09
2014-09-30,79.05,$5.64,14.0
2014-06-30,91.36,$5.42,16.86
2014-03-31,75.23,$5.62,13.39
2013-12-31,69.22,$5.06,13.68
2013-09-30,67.63,$4.32,15.67
2013-06-30,54.64,$3.66,14.92
2013-03-31,56.86,$1.99,28.56
2012-12-31,52.41,$1.66,31.6
2012-09-30,54.49,$0.88,62.2
2012-06-30,48.72,$0.61,79.69
2012-03-31,52.26,$1.18,44.28
2011-12-31,50.87,$1.38,36.91
2011-09-30,44.32,$1.82,24.36
2011-06-30,63.91,$1.32,48.51
2011-03-31,68.78,$1.66,41.44
2010-12-31,61.41,$2.06,29.87
2010-09-30,45.19,$2.01,22.45
2010-06-30,40.44,$2.73,14.82
2010-03-31,46.2,$3.01,15.35
2009-12-31,47.23,$2.40,19.66
