HCA Healthcare Price to Free Cash Flow Ratio Historical Data,HCA Healthcare Price to Free Cash Flow Ratio Historical Data,HCA Healthcare Price to Free Cash Flow Ratio Historical Data,HCA Healthcare Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-06-21,338.92,,17.08
2024-03-31,332.88,$19.84,16.78
2023-12-31,269.6,$16.96,15.9
2023-09-30,244.46,$15.44,15.83
2023-06-30,300.91,$17.13,17.57
2023-03-31,260.9,$14.59,17.88
2022-12-31,236.87,$14.01,16.91
2022-09-30,181.01,$13.71,13.21
2022-06-30,165.08,$11.62,14.21
2022-03-31,245.41,$14.06,17.45
2021-12-31,251.05,$16.37,15.34
2021-09-30,236.71,$0.12,1961.16
2021-06-30,201.25,$1.98,101.58
2021-03-31,182.92,$20.99,8.72
2020-12-31,159.31,$18.62,8.56
2020-09-30,120.51,$34.77,3.47
2020-06-30,93.81,$31.25,3.0
2020-03-31,86.84,$10.86,8.0
2019-12-31,142.38,$9.89,14.4
2019-09-30,115.66,$9.22,12.55
2019-06-30,129.4,$8.86,14.61
2019-03-31,124.4,$7.89,15.77
2018-12-31,118.41,$8.97,13.2
2018-09-30,132.04,$8.12,16.27
2018-06-30,97.13,$6.44,15.09
2018-03-31,91.52,$0.81,113.5
2017-12-31,82.58,$1.16,70.95
2017-09-30,74.83,$0.53,140.52
2017-06-30,81.98,$1.51,54.33
2016-12-31,69.59,$7.31,9.52
2016-09-30,71.1,$8.98,7.92
2016-06-30,72.4,$9.48,7.64
2016-03-31,73.38,$8.97,8.18
2015-12-31,63.58,$7.98,7.97
2017-03-31,83.66,$5.63,14.86
2015-09-30,72.73,$5.81,12.51
2015-06-30,85.29,$5.82,14.66
2015-03-31,70.73,$6.26,11.29
2014-12-31,69.0,$5.04,13.68
2014-09-30,66.3,$4.37,15.18
2014-06-30,53.01,$4.06,13.05
2014-03-31,49.36,$3.13,15.78
2013-12-31,44.85,$3.76,11.93
2013-09-30,40.19,$3.85,10.45
2013-06-30,33.9,$3.24,10.45
2013-03-31,38.2,$4.75,8.04
2012-12-31,28.36,$5.03,5.63
2012-09-30,26.98,$5.51,4.89
2012-06-30,24.69,$6.10,4.05
2012-03-31,20.08,$4.28,4.69
2011-12-31,16.56,$4.54,3.64
