Arista Networks Price to Free Cash Flow Ratio Historical Data,Arista Networks Price to Free Cash Flow Ratio Historical Data,Arista Networks Price to Free Cash Flow Ratio Historical Data,Arista Networks Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-06-21,337.36,,52.18
2024-03-31,289.98,$6.47,44.85
2023-12-31,235.51,$4.98,47.34
2023-09-30,183.93,$3.73,49.36
2023-06-30,162.06,$1.87,86.77
2022-12-31,121.35,$1.42,85.69
2022-09-30,112.89,$3.14,35.95
2022-06-30,93.74,$3.91,23.98
2022-03-31,138.98,$4.32,32.19
2021-12-31,143.75,$4.50,31.97
2023-03-31,167.86,$3.47,48.39
2021-09-30,85.91,$2.86,30.03
2021-06-30,90.58,$2.83,32.06
2021-03-31,75.47,$2.45,30.83
2020-12-31,72.64,$2.26,32.08
2020-09-30,51.73,$2.70,19.13
2020-06-30,52.51,$2.86,18.35
2020-03-31,50.64,$3.02,16.77
2019-12-31,50.85,$2.93,17.37
2019-09-30,59.73,$2.82,21.15
2019-06-30,64.91,$1.53,42.38
2019-03-31,78.62,$1.40,56.01
2018-12-31,52.68,$1.48,35.54
2018-09-30,66.47,$1.16,57.16
2018-06-30,64.37,$2.26,28.44
2018-03-31,63.83,$2.03,31.49
2017-12-31,58.9,$1.95,30.19
2017-09-30,47.4,$1.58,29.97
2017-06-30,37.45,$0.82,45.87
2017-03-31,33.07,$0.27,122.56
2016-12-31,24.19,$0.28,86.9
2016-09-30,21.27,$0.09,243.92
2016-06-30,16.1,$0.39,41.43
2015-12-31,19.46,$0.76,25.52
2015-09-30,15.3,$0.55,27.8
2015-06-30,20.44,$0.77,26.52
2015-03-31,17.63,$0.60,29.38
2014-12-31,15.19,$0.86,17.68
