Kellanova Price to Free Cash Flow Ratio Historical Data,Kellanova Price to Free Cash Flow Ratio Historical Data,Kellanova Price to Free Cash Flow Ratio Historical Data,Kellanova Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-06-21,57.48,,17.95
2024-03-31,57.29,$3.20,17.89
2023-12-31,55.35,$2.81,19.73
2023-09-30,58.29,$3.56,16.38
2023-06-30,65.38,$2.69,24.29
2023-03-31,64.38,$3.04,21.18
2022-12-31,67.89,$3.38,20.08
2022-09-30,65.85,$3.60,18.29
2022-06-30,66.9,$3.78,17.67
2022-03-31,59.97,$3.71,16.17
2021-12-31,59.37,$3.34,17.79
2021-09-30,58.36,$2.78,20.99
2021-06-30,58.2,$3.24,17.99
2021-03-31,56.76,$3.66,15.5
2020-12-31,55.25,$4.29,12.87
2020-09-30,56.84,$3.95,14.38
2020-06-30,57.67,$3.24,17.8
2020-03-31,51.91,$2.76,18.82
2019-12-31,59.31,$1.72,34.48
2019-09-30,54.71,$2.64,20.69
2019-06-30,45.14,$2.91,15.53
2019-03-31,47.84,$2.25,21.26
2018-12-31,47.05,$2.75,17.09
2018-09-30,57.28,$1.79,32.05
2018-06-30,56.71,$0.73,77.84
2018-03-31,52.33,$0.46,113.96
2017-12-31,54.29,$-0.28,0.0
2017-09-30,49.4,$-0.19,0.0
2017-06-30,54.57,$0.53,102.75
2017-03-31,56.64,$2.09,27.15
2016-12-31,57.09,$2.16,26.45
2016-09-30,59.58,$3.39,17.58
2016-06-30,62.4,$3.41,18.28
2016-03-31,58.11,$2.77,20.97
2015-12-31,54.49,$3.20,17.05
2015-09-30,49.82,$2.71,18.39
2015-06-30,46.59,$3.09,15.07
2015-03-31,48.63,$2.93,16.62
2014-12-31,47.89,$3.36,14.24
2014-09-30,44.74,$2.67,16.76
2014-06-30,47.36,$3.12,15.2
2014-03-31,44.9,$3.03,14.8
2013-12-31,43.4,$3.21,13.54
2013-09-30,41.43,$3.12,13.27
2013-06-30,44.97,$3.21,14.0
2013-03-31,44.79,$3.28,13.67
2012-12-31,38.55,$3.40,11.33
2012-09-30,35.38,$3.43,10.3
2012-06-30,33.49,$3.11,10.76
2012-03-31,36.09,$2.96,12.2
2011-12-31,33.76,$2.75,12.27
2011-09-30,35.19,$1.63,21.6
2011-06-30,36.31,$1.35,26.85
2011-03-31,35.18,$1.48,23.76
2010-12-31,33.04,$1.41,23.39
2010-09-30,32.4,$2.95,10.99
2010-06-30,32.0,$3.06,10.45
2010-03-31,33.76,$3.34,10.1
2009-12-31,33.37,$3.30,10.12
