W.R Berkley Price to Free Cash Flow Ratio Historical Data,W.R Berkley Price to Free Cash Flow Ratio Historical Data,W.R Berkley Price to Free Cash Flow Ratio Historical Data,W.R Berkley Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-06-21,80.49,,7.07
2024-03-31,88.44,$11.38,7.77
2023-12-31,70.63,$10.53,6.71
2023-09-30,62.86,$10.71,5.87
2023-06-30,58.42,$9.46,6.17
2023-03-31,60.95,$8.66,7.03
2022-12-31,70.45,$8.85,7.96
2022-09-30,62.61,$8.40,7.45
2022-06-30,66.08,$8.63,7.66
2022-03-31,63.9,$8.83,7.23
2021-12-31,52.63,$8.16,6.45
2021-09-30,46.08,$8.33,5.53
2021-06-30,46.78,$7.37,6.35
2021-03-31,46.96,$6.91,6.79
2020-12-31,41.33,$6.21,6.66
2020-09-30,37.98,$4.87,7.8
2020-06-30,35.52,$4.14,8.58
2020-03-31,32.27,$3.54,9.12
2019-12-31,42.67,$3.22,13.26
2019-09-30,44.05,$2.83,15.57
2019-06-30,40.14,$2.28,17.59
2019-03-31,34.07,$1.56,21.87
2018-12-31,29.67,$0.20,151.84
2018-09-30,31.82,$-0.27,0.0
2018-06-30,28.59,$0.01,0.0
2018-03-31,28.65,$-0.10,0.0
2017-12-31,28.18,$1.23,22.83
2017-09-30,26.01,$1.06,24.63
2017-06-30,26.89,$1.13,23.78
2017-03-31,27.21,$1.52,17.96
2016-12-31,25.58,$1.72,14.84
2016-09-30,21.97,$2.21,9.92
2016-06-30,22.54,$1.94,11.6
2016-03-31,21.09,$2.26,9.34
2015-12-31,20.5,$2.03,10.09
2015-09-30,20.32,$2.10,9.69
2015-06-30,19.36,$1.80,10.76
2015-03-31,18.79,$2.45,7.67
2014-12-31,19.03,$2.74,6.95
2014-09-30,17.36,$2.50,6.95
2014-06-30,16.78,$2.95,5.69
2014-03-31,15.04,$2.08,7.22
2013-12-31,15.64,$2.05,7.63
2013-09-30,15.42,$1.72,8.97
2013-06-30,14.66,$1.13,13.02
2013-03-31,15.88,$1.30,12.24
2012-12-31,13.48,$1.17,11.49
2012-09-30,13.03,$2.43,5.36
2012-06-30,13.5,$2.23,6.06
2012-03-31,12.5,$1.82,6.86
2011-12-31,11.87,$1.61,7.36
2011-09-30,10.22,$0.44,23.3
2011-06-30,11.14,$0.92,12.08
2011-03-31,11.03,$0.98,11.27
2010-12-31,9.36,$1.15,8.13
2010-09-30,9.23,$1.39,6.65
2010-06-30,9.0,$1.29,6.98
2010-03-31,8.85,$0.84,10.5
2009-12-31,8.34,$0.76,10.94
