IDEX Price to Free Cash Flow Ratio Historical Data,IDEX Price to Free Cash Flow Ratio Historical Data,IDEX Price to Free Cash Flow Ratio Historical Data,IDEX Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-06-21,202.7,,20.15
2024-03-31,243.26,$10.06,24.19
2023-12-31,215.78,$10.18,21.19
2023-09-30,206.1,$10.14,20.32
2023-03-31,227.51,$7.12,31.95
2022-12-31,224.28,$6.44,34.83
2022-09-30,195.73,$7.77,25.19
2022-06-30,177.3,$3.98,44.6
2022-03-31,186.55,$4.55,41.02
2021-12-31,229.39,$5.20,44.08
2023-06-30,212.63,$3.19,66.64
2021-09-30,200.38,$6.56,30.54
2021-06-30,212.55,$6.50,32.72
2021-03-31,201.69,$7.08,28.5
2020-12-31,191.47,$6.78,28.26
2020-09-30,174.86,$6.66,26.24
2020-06-30,151.05,$6.78,22.26
2020-03-31,131.56,$6.18,21.29
2019-12-31,163.37,$6.24,26.19
2019-09-30,155.17,$6.23,24.89
2019-06-30,162.51,$5.81,27.99
2019-03-31,142.79,$5.67,25.19
2018-12-31,118.43,$5.46,21.68
2018-09-30,140.87,$5.26,26.79
2018-06-30,127.22,$5.33,23.85
2018-03-31,132.43,$4.93,26.87
2017-12-31,122.3,$5.11,23.95
2017-09-30,112.24,$4.92,22.83
2017-06-30,104.08,$4.84,21.49
2017-03-31,85.82,$4.88,17.58
2016-12-31,82.35,$4.71,17.47
2016-09-30,85.22,$4.45,19.17
2016-06-30,74.48,$4.33,17.2
2016-03-31,74.88,$4.38,17.11
2015-12-31,68.9,$4.07,16.92
2015-09-30,63.85,$4.04,15.79
2015-06-30,70.08,$3.81,18.38
2015-03-31,67.34,$3.70,18.18
2014-12-31,68.87,$3.98,17.3
2014-09-30,63.76,$4.02,15.88
2014-06-30,70.89,$4.25,16.68
2014-03-31,63.75,$4.49,14.19
2013-12-31,64.38,$4.49,14.33
2013-09-30,56.69,$4.29,13.21
2013-06-30,46.56,$4.04,11.53
2013-03-31,46.01,$3.65,12.61
2012-12-31,39.91,$3.47,11.5
2012-09-30,35.65,$2.96,12.04
2012-06-30,33.09,$2.87,11.52
2012-03-31,35.59,$2.72,13.1
2011-12-31,31.21,$2.33,13.39
2011-09-30,26.08,$2.19,11.93
2011-06-30,38.23,$1.81,21.12
2011-03-31,36.25,$1.84,19.66
2010-12-31,32.37,$1.87,17.29
2010-09-30,29.26,$2.20,13.28
2010-06-30,23.43,$2.52,9.31
2010-03-31,27.02,$2.43,11.13
2009-12-31,25.34,$2.37,10.7
