Linde Price to Free Cash Flow Ratio Historical Data,Linde Price to Free Cash Flow Ratio Historical Data,Linde Price to Free Cash Flow Ratio Historical Data,Linde Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-06-21,442.75,,40.63
2024-03-31,464.32,$10.90,42.61
2023-12-31,410.71,$11.21,36.64
2023-09-30,372.35,$10.27,36.24
2023-06-30,381.08,$10.83,35.18
2023-03-31,355.44,$10.83,32.83
2022-12-31,326.18,$11.29,28.89
2022-09-30,269.59,$13.60,19.82
2022-06-30,286.33,$13.34,21.46
2022-03-31,316.98,$12.81,24.75
2021-12-31,342.36,$12.72,26.91
2021-09-30,288.99,$10.80,26.75
2021-06-30,283.82,$9.34,30.38
2021-03-31,274.06,$9.12,30.03
2020-12-31,256.68,$7.59,33.84
2020-09-30,231.07,$7.06,32.72
2020-06-30,205.06,$6.68,30.68
2020-03-31,166.48,$5.08,32.79
2019-12-31,204.87,$4.47,45.83
2019-09-30,185.6,$3.22,57.72
2019-06-30,191.5,$3.21,59.63
2019-03-31,166.97,$4.46,37.42
2018-12-31,147.33,$5.30,27.8
2018-09-30,150.96,$6.16,24.52
2018-06-30,148.54,$6.11,24.31
2018-03-31,134.85,$5.90,22.86
2017-12-31,144.55,$5.98,24.16
2017-09-30,130.58,$5.43,24.07
2017-06-30,123.87,$5.22,23.73
2017-03-31,110.18,$1.94,56.75
2016-12-31,108.87,$1.99,54.69
2016-09-30,111.55,$1.79,62.41
2016-06-30,103.13,$1.63,63.2
2015-12-31,92.67,$3.99,23.21
2015-09-30,92.18,$5.86,15.73
2015-06-30,107.44,$5.70,18.84
2015-03-31,107.88,$5.40,19.99
2014-12-31,115.77,$6.58,17.59
2016-03-31,104.31,$3.81,27.35
2014-09-30,114.69,$4.51,25.45
2014-06-30,118.1,$4.84,24.38
2014-03-31,116.44,$3.46,33.64
2013-12-31,115.61,$3.00,38.53
2013-09-30,106.36,$2.48,42.97
2013-06-30,101.37,$1.83,55.25
2013-03-31,97.68,$2.18,44.76
2012-12-31,95.34,$1.90,50.31
2012-09-30,90.02,$1.63,55.11
2012-06-30,93.73,$1.87,50.0
2012-03-31,98.3,$1.80,54.7
2011-12-31,91.2,$2.15,42.51
2011-09-30,79.36,$0.92,86.18
2011-06-30,91.54,$0.89,102.79
2011-03-31,85.39,$1.11,76.61
2010-12-31,79.83,$1.66,48.08
2010-09-30,75.11,$3.31,22.71
2010-06-30,62.91,$3.12,20.16
2010-03-31,68.31,$3.06,22.33
2009-12-31,65.71,$2.61,25.16
