Keurig Dr Pepper Price to Free Cash Flow Ratio Historical Data,Keurig Dr Pepper Price to Free Cash Flow Ratio Historical Data,Keurig Dr Pepper Price to Free Cash Flow Ratio Historical Data,Keurig Dr Pepper Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-06-21,34.38,,58.83
2024-03-31,30.67,$0.58,52.48
2023-12-31,33.32,$0.65,51.4
2023-09-30,31.57,$1.06,29.76
2023-06-30,31.27,$1.22,25.73
2023-03-31,35.28,$0.07,535.36
2022-12-31,35.66,$0.72,49.65
2022-09-30,35.82,$0.68,52.83
2022-06-30,35.39,$0.54,65.49
2021-12-31,36.3,$1.80,20.15
2021-09-30,33.64,$2.24,15.01
2021-06-30,34.52,$2.21,15.61
2021-03-31,33.49,$2.24,14.98
2020-12-31,30.9,$2.28,13.54
2022-03-31,37.7,$1.51,25.04
2020-09-30,26.51,$1.61,16.45
2020-06-30,27.13,$1.60,16.94
2020-03-31,23.04,$1.63,14.17
2019-12-31,27.34,$1.68,16.23
2019-09-30,25.66,$1.75,14.69
2019-06-30,27.01,$1.41,19.15
2019-03-31,26.0,$1.38,18.82
2018-12-31,23.69,$1.31,18.11
2018-09-30,21.27,$3.67,5.79
2018-06-30,111.98,$3.25,34.44
2018-03-31,108.65,$4.46,24.37
2017-12-31,89.08,$4.59,19.41
2017-09-30,81.2,$2.61,31.16
2017-06-30,83.62,$4.29,19.51
2017-03-31,89.87,$3.76,23.92
2016-12-31,83.22,$4.22,19.73
2016-09-30,83.81,$4.20,19.94
2016-06-30,88.69,$5.97,14.86
2016-03-31,82.07,$5.35,15.34
2015-12-31,85.54,$5.37,15.93
2015-09-30,72.55,$5.93,12.23
2015-03-31,72.03,$4.32,16.69
2014-12-31,65.79,$4.36,15.1
2014-09-30,59.03,$4.32,13.66
2014-06-30,53.77,$4.20,12.79
2014-03-31,49.99,$3.68,13.6
2013-12-31,44.72,$3.36,13.29
2013-09-30,40.81,$2.10,19.43
2013-06-30,41.47,$1.73,23.92
2013-03-31,42.05,$2.02,20.84
2012-12-31,39.22,$3.02,12.99
2015-06-30,66.91,$1.65,40.48
2012-09-30,39.23,$1.09,36.08
2012-06-30,38.26,$1.21,31.63
2012-03-31,34.89,$0.75,46.42
2011-12-31,33.95,$2.48,13.71
2011-09-30,33.08,$5.74,5.77
2011-06-30,35.46,$5.46,6.5
2011-03-31,31.18,$5.84,5.34
2010-12-31,29.31,$9.51,3.08
2010-09-30,29.41,$6.04,4.87
2010-06-30,30.74,$5.97,5.15
2010-03-31,28.73,$5.43,5.29
2009-12-31,23.02,$2.17,10.62
