Comcast Price to Free Cash Flow Ratio Historical Data,Comcast Price to Free Cash Flow Ratio Historical Data,Comcast Price to Free Cash Flow Ratio Historical Data,Comcast Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-06-21,38.48,,9.37
2024-03-31,43.03,$4.11,10.48
2023-12-31,43.24,$3.89,11.13
2023-09-30,43.43,$3.73,11.64
2023-06-30,40.42,$3.53,11.46
2023-03-31,36.6,$3.40,10.78
2022-12-31,33.51,$3.49,9.6
2022-09-30,27.86,$4.00,6.96
2022-06-30,37.02,$3.84,9.63
2022-03-31,43.92,$4.06,10.81
2021-12-31,46.98,$4.08,11.51
2021-09-30,51.98,$3.50,14.84
2021-06-30,52.77,$3.19,16.53
2021-03-31,49.85,$3.44,14.5
2020-12-31,48.05,$3.04,15.8
2020-09-30,42.2,$3.25,12.99
2020-06-30,35.56,$3.25,10.96
2020-03-31,31.18,$2.88,10.84
2019-12-31,40.32,$3.17,12.71
2019-09-30,40.23,$3.11,12.95
2019-06-30,37.55,$3.34,11.24
2019-03-31,35.32,$1.76,20.11
2018-12-31,30.08,$1.22,24.64
2018-09-30,31.12,$1.23,25.27
2018-06-30,28.67,$1.04,27.67
2017-12-31,34.67,$2.34,14.78
2017-09-30,33.17,$3.16,10.5
2017-06-30,33.55,$3.33,10.06
2017-03-31,32.14,$3.14,10.25
2016-12-31,29.52,$2.85,10.34
2018-03-31,29.69,$2.19,13.57
2016-09-30,28.13,$2.05,13.75
2016-06-30,27.53,$2.25,12.21
2016-03-31,25.68,$2.15,11.95
2015-12-31,23.62,$2.15,11.0
2015-09-30,23.7,$2.02,11.72
2015-06-30,25.06,$2.00,12.56
2015-03-31,23.44,$1.92,12.21
2014-12-31,23.87,$1.81,13.19
2014-09-30,22.13,$1.40,15.78
2014-06-30,22.0,$1.22,18.02
2014-03-31,20.42,$1.07,19.01
2013-12-31,21.11,$1.06,19.88
2013-09-30,18.26,$1.36,13.4
2013-06-30,16.75,$1.35,12.36
2013-03-31,16.76,$1.66,10.11
2012-12-31,14.91,$1.68,8.87
2012-09-30,14.14,$1.80,7.88
2012-06-30,12.65,$1.79,7.06
2012-03-31,11.75,$1.11,10.58
2011-12-31,9.28,$0.86,10.78
2011-09-30,8.11,$0.58,13.89
2011-06-30,9.78,$0.47,20.7
2010-12-31,8.4,$1.10,7.62
2010-09-30,6.88,$1.24,5.55
2010-06-30,6.57,$1.47,4.46
2010-03-31,7.09,$1.49,4.77
2009-12-31,6.31,$1.39,4.53
2011-03-31,9.5,$1.15,8.23
