Costco Price to Free Cash Flow Ratio Historical Data,Costco Price to Free Cash Flow Ratio Historical Data,Costco Price to Free Cash Flow Ratio Historical Data,Costco Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-06-21,848.31,,50.87
2024-05-31,809.89,$16.68,48.57
2024-02-29,742.7,$13.95,53.25
2023-11-30,577.93,$19.81,29.18
2023-08-31,534.58,$15.18,35.23
2023-05-31,496.91,$13.10,37.92
2023-02-28,469.34,$12.32,38.1
2022-11-30,521.83,$6.41,81.4
2022-08-31,504.32,$7.87,64.07
2022-05-31,449.59,$9.22,48.78
2022-02-28,499.92,$13.57,36.84
2021-11-30,518.52,$13.09,39.6
2021-08-31,437.17,$12.09,36.17
2021-05-31,362.38,$15.57,23.27
2021-02-28,316.43,$13.08,24.19
2020-11-30,364.39,$14.45,25.21
2020-08-31,322.74,$13.63,23.68
2020-05-31,285.74,$8.89,32.14
2020-02-29,259.83,$9.43,27.57
2019-11-30,276.5,$4.36,63.43
2019-08-31,271.25,$2.36,115.0
2019-05-31,219.99,$2.90,75.78
2019-02-28,200.32,$-1.24,0.0
2018-08-31,212.41,$6.35,33.46
2018-05-31,180.18,$11.53,15.62
2018-02-28,173.0,$11.36,15.23
2017-11-30,166.7,$14.68,11.35
2017-08-31,141.26,$11.94,11.83
2018-11-30,211.23,$10.45,20.21
2017-05-31,162.1,$4.88,33.24
2017-02-28,152.54,$5.63,27.07
2016-11-30,128.89,$6.07,21.25
2016-08-31,138.75,$1.46,95.21
2016-05-31,127.0,$4.27,29.72
2016-02-29,127.7,$2.93,43.66
2015-11-30,137.03,$3.20,42.88
2015-08-31,118.58,$4.27,27.75
2015-05-31,120.4,$4.39,27.43
2015-02-28,123.75,$5.02,24.66
2014-11-30,115.51,$4.97,23.24
2014-08-31,98.16,$4.50,21.81
2014-05-31,93.77,$3.56,26.36
2014-02-28,94.11,$3.18,29.64
2013-11-30,100.8,$2.50,40.34
2013-08-31,89.67,$3.07,29.17
2013-05-31,87.65,$3.73,23.49
2013-02-28,80.76,$3.52,22.94
2012-11-30,77.15,$4.24,18.18
2012-08-31,72.45,$3.59,20.18
2012-05-31,63.77,$4.29,14.86
2012-02-29,63.31,$3.64,17.41
2011-11-30,62.58,$4.10,15.28
2011-08-31,57.45,$4.31,13.34
2011-05-31,60.15,$3.73,16.11
2011-02-28,54.38,$4.02,13.51
2010-11-30,49.03,$3.84,12.75
2010-08-31,40.84,$3.88,10.53
2010-05-31,41.95,$3.86,10.88
2010-02-28,43.76,$3.43,12.77
2009-11-30,42.87,$2.91,14.71
