Mondelez Price to Free Cash Flow Ratio Historical Data,Mondelez Price to Free Cash Flow Ratio Historical Data,Mondelez Price to Free Cash Flow Ratio Historical Data,Mondelez Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-06-21,66.51,,24.32
2024-03-31,70.0,$2.74,25.59
2023-12-31,71.99,$2.64,27.24
2023-09-30,68.58,$4.11,16.69
2023-06-30,71.64,$2.14,33.49
2023-03-31,68.11,$2.12,32.12
2022-12-31,64.75,$2.20,29.43
2022-09-30,52.97,$1.67,31.73
2022-06-30,59.58,$2.56,23.25
2022-03-31,59.9,$2.64,22.67
2021-12-31,62.92,$2.40,26.22
2021-09-30,54.91,$2.59,21.19
2021-06-30,58.58,$2.36,24.81
2021-03-31,54.64,$2.49,21.99
2020-12-31,54.29,$2.16,25.15
2020-09-30,53.06,$3.32,16.0
2020-06-30,46.96,$2.52,18.66
2020-03-31,45.74,$2.18,20.97
2019-12-31,50.02,$2.14,23.36
2019-09-30,49.98,$2.30,21.7
2019-06-30,48.45,$2.14,22.68
2019-03-31,44.66,$2.24,19.97
2018-12-31,35.62,$2.19,16.28
2018-09-30,37.98,$1.82,20.87
2018-06-30,36.03,$1.68,21.48
2018-03-31,36.48,$1.74,21.02
2017-12-31,37.21,$1.10,33.75
2017-09-30,35.17,$1.00,35.27
2017-06-30,37.16,$1.10,33.93
2017-03-31,36.9,$1.05,35.0
2016-12-31,37.81,$1.11,33.95
2016-09-30,37.29,$1.44,25.85
2016-06-30,38.48,$1.42,27.18
2016-03-31,33.79,$1.34,25.25
2015-12-31,37.6,$1.39,27.07
2015-09-30,34.95,$1.26,27.68
2015-06-30,34.23,$1.19,28.84
2015-03-31,29.92,$1.21,24.68
2014-12-31,29.99,$1.13,26.6
2014-09-30,28.18,$2.69,10.47
2014-06-30,30.79,$2.65,11.63
2014-03-31,28.18,$2.58,10.92
2013-12-31,28.68,$2.76,10.4
2013-09-30,25.42,$0.93,27.24
2013-06-30,22.98,$1.02,22.49
2013-03-31,24.55,$1.69,14.55
2012-12-31,20.33,$1.37,14.87
2012-09-30,21.55,$1.86,11.58
2012-06-30,19.98,$2.02,9.9
2012-03-31,19.51,$1.60,12.17
2011-12-31,19.03,$1.57,12.13
2011-09-30,16.97,$1.31,13.0
2011-06-30,17.66,$0.91,19.43
2011-03-31,15.59,$0.65,24.15
2010-12-31,15.52,$1.19,13.01
2010-09-30,15.06,$0.99,15.23
2010-06-30,13.54,$1.82,7.45
2010-03-31,14.48,$2.26,6.4
2009-12-31,12.89,$2.56,5.04
