Xcel Energy Price to Free Cash Flow Ratio Historical Data,Xcel Energy Price to Free Cash Flow Ratio Historical Data,Xcel Energy Price to Free Cash Flow Ratio Historical Data,Xcel Energy Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-06-21,53.37,,0.0
2024-03-31,53.21,$-2.32,0.0
2023-12-31,60.65,$-0.95,0.0
2023-09-30,55.58,$-0.80,0.0
2023-06-30,59.86,$-1.46,0.0
2023-03-31,64.4,$-1.16,0.0
2022-12-31,66.42,$-1.29,0.0
2022-09-30,60.22,$-1.40,0.0
2022-06-30,66.15,$-1.16,0.0
2022-03-31,66.97,$-1.29,0.0
2021-12-31,62.38,$-3.81,0.0
2021-09-30,57.2,$-4.62,0.0
2021-06-30,59.88,$-4.82,0.0
2021-03-31,60.05,$-5.15,0.0
2020-12-31,59.76,$-4.77,0.0
2020-09-30,61.45,$-3.82,0.0
2020-06-30,55.31,$-3.86,0.0
2020-03-31,53.0,$-3.53,0.0
2019-12-31,55.42,$-1.85,0.0
2019-09-30,56.28,$-2.15,0.0
2019-06-30,51.27,$-1.50,0.0
2019-03-31,48.11,$-1.79,0.0
2018-12-31,41.87,$-1.63,0.0
2018-09-30,39.81,$-0.82,0.0
2018-06-30,38.22,$-0.69,0.0
2018-03-31,37.72,$-0.12,0.0
2017-12-31,39.56,$-0.23,0.0
2017-09-30,38.62,$-0.53,0.0
2017-06-30,37.17,$-0.66,0.0
2017-03-31,35.74,$-0.54,0.0
2016-12-31,32.45,$-0.28,0.0
2016-09-30,32.53,$-1.40,0.0
2016-06-30,35.12,$-1.31,0.0
2016-03-31,32.54,$-1.49,0.0
2015-12-31,27.7,$-1.27,0.0
2015-09-30,27.07,$0.11,242.38
2015-06-30,24.37,$0.05,447.13
2015-03-31,26.1,$-0.19,0.0
2014-12-31,26.68,$-1.07,0.0
2014-09-30,22.39,$-1.24,0.0
2014-06-30,23.51,$-1.58,0.0
2014-03-31,21.94,$-1.80,0.0
2013-12-31,19.99,$-1.56,0.0
2013-09-30,19.56,$-1.58,0.0
2013-06-30,19.87,$-1.72,0.0
2013-03-31,20.63,$-1.34,0.0
2012-12-31,18.38,$-1.16,0.0
2012-09-30,18.87,$-0.73,0.0
2012-06-30,19.16,$-0.08,0.0
2012-03-31,17.69,$0.13,140.94
2011-12-31,18.29,$0.41,44.41
2011-09-30,16.18,$0.23,70.44
2011-06-30,15.76,$-0.39,0.0
2011-03-31,15.33,$-0.41,0.0
2010-12-31,14.95,$-0.51,0.0
2010-09-30,14.43,$-0.48,0.0
2010-06-30,12.81,$-0.21,0.0
2010-03-31,13.02,$-0.29,0.0
2009-12-31,12.88,$0.30,43.51
