Marvell Technology Price to Free Cash Flow Ratio Historical Data,Marvell Technology Price to Free Cash Flow Ratio Historical Data,Marvell Technology Price to Free Cash Flow Ratio Historical Data,Marvell Technology Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-06-21,71.89,,53.52
2024-04-30,65.91,$1.34,49.07
2024-01-31,67.7,$1.20,56.38
2023-10-31,47.22,$1.00,47.0
2023-07-31,65.13,$0.91,71.29
2023-04-30,39.48,$1.21,32.57
2023-01-31,43.15,$1.27,33.93
2022-10-31,39.68,$1.32,30.13
2022-07-31,55.68,$1.11,50.02
2022-04-30,58.01,$1.05,55.11
2022-01-31,71.24,$0.82,87.33
2021-10-31,68.3,$0.62,109.32
2021-07-31,60.28,$0.73,82.72
2021-04-30,44.99,$0.80,56.21
2021-01-31,51.15,$1.06,48.14
2020-10-31,37.24,$0.90,41.31
2020-07-31,36.15,$0.64,56.72
2020-04-30,26.47,$-0.33,0.0
2020-01-31,23.73,$-0.26,0.0
2019-10-31,24.02,$0.08,288.03
2019-07-31,25.8,$0.07,368.0
2019-01-31,18.11,$0.95,18.97
2018-10-31,15.97,$1.52,10.5
2018-07-31,20.67,$1.35,15.34
2018-04-30,19.4,$1.71,11.36
2018-01-31,22.5,$1.68,13.43
2019-04-30,24.52,$1.07,22.9
2017-10-31,17.77,$1.06,16.83
2017-07-31,14.92,$0.87,17.17
2017-04-30,14.35,$0.78,18.4
2017-01-31,14.15,$-0.78,0.0
2016-10-31,12.35,$-0.87,0.0
2016-07-31,11.08,$-0.98,0.0
2016-04-30,9.35,$-1.06,0.0
2016-01-31,8.25,$0.33,24.98
2015-10-31,7.59,$0.48,15.8
2015-07-31,11.43,$0.68,16.77
2015-04-30,12.82,$0.93,13.74
2015-01-31,14.13,$1.28,11.08
2014-10-31,12.21,$1.18,10.36
2014-07-31,12.06,$1.19,10.17
2014-04-30,14.28,$1.05,13.6
2014-01-31,13.4,$0.76,17.72
2013-10-31,10.72,$0.91,11.76
2013-07-31,11.54,$0.81,14.28
2013-04-30,9.51,$1.00,9.54
2013-01-31,8.13,$1.17,6.93
2012-10-31,6.89,$0.90,7.64
2012-07-31,9.78,$1.08,9.02
2012-04-30,12.97,$1.15,11.24
2012-01-31,13.42,$1.10,12.26
2011-10-31,12.09,$1.37,8.82
2011-07-31,12.8,$1.48,8.67
2011-04-30,13.33,$1.52,8.76
2011-01-31,16.42,$1.63,10.07
2010-10-31,16.66,$1.70,9.78
2010-07-31,12.89,$1.48,8.71
2010-04-30,17.85,$1.31,13.68
2010-01-31,15.06,$1.18,12.76
2009-10-31,11.86,$1.75,6.8
