Illumina Price to Free Cash Flow Ratio Historical Data,Illumina Price to Free Cash Flow Ratio Historical Data,Illumina Price to Free Cash Flow Ratio Historical Data,Illumina Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-06-21,108.57,,46.9
2024-03-31,137.32,$2.31,59.32
2023-12-31,139.24,$1.79,77.74
2023-09-30,137.28,$1.07,128.06
2023-06-30,187.49,$-0.27,0.0
2023-03-31,232.55,$-0.29,0.0
2022-12-31,202.2,$0.68,299.47
2022-09-30,190.79,$1.71,111.3
2022-06-30,184.36,$0.23,807.18
2022-03-31,349.4,$1.30,269.35
2021-12-31,380.44,$2.23,170.46
2021-09-30,405.61,$3.14,129.12
2021-06-30,473.21,$6.09,77.73
2021-03-31,384.06,$6.02,63.75
2020-12-31,370.0,$6.02,61.46
2020-09-30,309.08,$6.27,49.33
2020-06-30,370.35,$7.04,52.61
2020-03-31,273.12,$6.33,43.17
2019-12-31,331.74,$5.65,58.7
2019-09-30,304.22,$4.66,65.31
2019-06-30,368.15,$4.69,78.54
2019-03-31,310.69,$5.52,56.33
2018-12-31,299.93,$5.68,52.82
2018-09-30,367.06,$5.57,65.86
2018-06-30,279.29,$5.09,54.92
2018-03-31,236.42,$4.35,54.3
2017-12-31,218.49,$3.82,57.23
2017-09-30,199.2,$3.56,55.94
2017-06-30,173.52,$3.34,51.95
2017-03-31,170.64,$3.77,45.21
2016-12-31,128.04,$3.51,36.51
2016-09-30,181.66,$4.52,40.17
2016-06-30,140.38,$4.73,29.71
2016-03-31,162.11,$4.42,36.65
2015-12-31,191.95,$4.32,44.48
2015-09-30,176.0,$2.77,63.45
2015-06-30,218.36,$2.57,84.94
2015-03-31,185.64,$0.66,280.72
2014-12-31,184.58,$1.18,156.93
2014-09-30,163.92,$0.93,175.6
2014-06-30,178.54,$0.62,286.95
2013-12-31,110.59,$2.20,50.38
2013-09-30,80.83,$3.03,26.71
2013-06-30,74.84,$2.70,27.74
2013-03-31,53.98,$2.46,21.92
2012-12-31,55.59,$2.50,22.28
2014-03-31,148.66,$1.34,111.16
2012-09-30,48.19,$1.77,27.22
2012-06-30,40.39,$2.05,19.68
2012-03-31,52.61,$1.91,27.53
2011-12-31,30.48,$2.02,15.11
2011-09-30,40.92,$1.96,20.88
2011-06-30,75.15,$1.68,44.6
2011-03-31,70.07,$1.70,41.22
2010-12-31,63.34,$1.55,40.79
2010-09-30,49.2,$1.47,33.51
2010-06-30,43.53,$1.21,35.96
2010-03-31,38.9,$0.94,41.57
2009-12-31,30.68,$0.87,35.19
