Adobe Price to Free Cash Flow Ratio Historical Data,Adobe Price to Free Cash Flow Ratio Historical Data,Adobe Price to Free Cash Flow Ratio Historical Data,Adobe Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-06-21,533.44,,37.68
2024-02-29,560.28,$14.16,39.58
2023-11-30,611.01,$15.12,40.4
2023-08-31,559.34,$16.44,34.02
2023-05-31,417.79,$15.99,26.12
2023-02-28,323.95,$15.65,20.7
2022-11-30,344.93,$15.70,21.97
2022-08-31,373.44,$15.10,24.74
2022-05-31,416.48,$14.39,28.95
2022-02-28,467.68,$14.27,32.76
2021-11-30,669.85,$14.31,46.82
2021-08-31,663.7,$13.68,48.52
2021-05-31,504.58,$13.66,36.94
2021-02-28,459.67,$11.97,38.41
2020-11-30,478.47,$10.94,43.72
2020-08-31,513.39,$10.08,50.95
2020-05-31,386.6,$9.08,42.58
2020-02-29,345.12,$8.79,39.27
2019-11-30,309.53,$8.19,37.82
2019-08-31,284.51,$7.68,37.07
2019-05-31,270.9,$7.78,34.84
2019-02-28,262.5,$7.68,34.17
2018-11-30,250.89,$7.55,33.21
2018-08-31,263.51,$7.05,37.37
2018-05-31,249.28,$6.54,38.09
2018-02-28,209.13,$5.85,35.74
2017-11-30,181.47,$5.46,33.25
2017-08-31,155.16,$5.15,30.1
2017-05-31,141.86,$4.78,29.69
2017-02-28,118.34,$4.46,26.52
2016-11-30,102.81,$3.96,25.98
2016-08-31,102.31,$3.56,28.77
2016-05-31,99.47,$3.25,30.61
2016-02-29,85.15,$1.30,65.55
2015-11-30,91.46,$1.12,81.78
2015-08-31,78.57,$0.66,119.32
2015-05-31,79.09,$0.72,110.41
2014-11-30,73.68,$2.24,32.89
2014-08-31,71.9,$3.16,22.74
2014-05-31,64.54,$3.03,21.27
2014-02-28,68.63,$2.69,25.55
2013-11-30,56.78,$2.74,20.74
2015-02-28,79.1,$1.62,48.82
2013-08-31,45.75,$2.10,21.79
2013-05-31,42.91,$2.15,19.96
2013-02-28,39.31,$2.43,16.16
2012-11-30,34.61,$2.44,14.16
2012-08-31,31.27,$2.49,12.55
2012-05-31,31.05,$2.66,11.69
2012-02-29,32.89,$2.59,12.72
2011-11-30,27.42,$2.65,10.37
2011-08-31,25.24,$2.31,10.95
2011-05-31,34.63,$2.32,14.9
2011-02-28,34.5,$2.00,17.24
2010-11-30,27.8,$1.86,14.98
2010-08-31,27.7,$2.12,13.07
2010-05-31,32.08,$2.04,15.76
2010-02-28,34.65,$2.32,14.93
2009-11-30,35.08,$3.35,10.48
