Intel Price to Free Cash Flow Ratio Historical Data,Intel Price to Free Cash Flow Ratio Historical Data,Intel Price to Free Cash Flow Ratio Historical Data,Intel Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-06-21,31.09,,0.0
2024-03-31,43.99,$-2.75,0.0
2023-12-31,49.9,$-0.62,0.0
2023-09-30,35.19,$-1.63,0.0
2023-06-30,32.98,$-3.24,0.0
2022-12-31,25.64,$-2.33,0.0
2022-09-30,24.68,$1.68,14.7
2022-06-30,35.46,$0.98,36.32
2022-03-31,46.6,$3.88,12.01
2021-12-31,48.06,$4.78,10.06
2023-03-31,32.09,$0.56,56.81
2021-09-30,49.38,$4.25,11.61
2021-06-30,51.69,$2.72,19.03
2021-03-31,58.58,$2.65,22.09
2020-12-31,45.33,$3.81,11.91
2020-09-30,46.78,$3.23,14.49
2019-12-31,53.14,$3.79,14.04
2019-09-30,45.5,$3.19,14.27
2019-06-30,41.99,$1.87,22.49
2019-03-31,46.82,$2.07,22.59
2018-12-31,40.66,$2.33,17.47
2020-06-30,53.68,$2.48,21.62
2018-09-30,40.71,$3.07,13.26
2018-06-30,42.54,$2.66,16.02
2018-03-31,44.31,$2.44,18.14
2017-12-31,39.01,$2.14,18.26
2017-09-30,32.0,$2.43,13.15
2017-06-30,28.14,$2.42,11.62
2017-03-31,29.87,$2.34,12.75
2016-12-31,29.82,$2.50,11.93
2016-09-30,30.8,$2.18,14.14
2016-06-30,26.56,$2.44,10.89
2016-03-31,25.97,$2.46,10.56
2015-12-31,27.41,$2.39,11.47
2015-09-30,23.79,$2.48,9.61
2015-06-30,23.84,$2.20,10.85
2015-03-31,24.33,$2.37,10.28
2014-12-31,28.03,$2.04,13.74
2014-09-30,26.72,$1.93,13.83
2014-06-30,23.55,$1.84,12.79
2014-03-31,19.5,$1.72,11.35
2013-12-31,19.43,$1.97,9.84
2013-09-30,17.0,$2.05,8.29
2013-06-30,17.79,$1.93,9.23
2013-03-31,15.88,$1.94,8.19
2012-12-31,14.84,$1.52,9.75
2012-09-30,16.14,$1.53,10.58
2012-06-30,18.83,$1.77,10.61
2012-03-31,19.72,$1.65,11.92
2011-12-31,16.87,$1.88,8.95
2011-09-30,14.72,$1.85,7.97
2011-06-30,15.14,$1.55,9.78
2011-03-31,13.68,$1.69,8.09
2010-12-31,14.14,$2.02,7.01
2010-09-30,12.81,$1.78,7.2
2010-06-30,12.88,$1.93,6.67
2010-03-31,14.66,$1.06,13.78
2009-12-31,13.31,$1.18,11.29
2009-09-30,12.67,$0.57,22.21
