Exelon Price to Free Cash Flow Ratio Historical Data,Exelon Price to Free Cash Flow Ratio Historical Data,Exelon Price to Free Cash Flow Ratio Historical Data,Exelon Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-06-21,34.78,,0.0
2024-03-31,37.19,$-2.06,0.0
2023-12-31,35.17,$-2.69,0.0
2023-09-30,36.68,$-3.51,0.0
2023-06-30,39.19,$-3.97,0.0
2023-03-31,39.96,$-3.57,0.0
2022-12-31,40.88,$-2.29,0.0
2022-09-30,35.11,$-4.16,0.0
2022-06-30,42.17,$-2.21,0.0
2022-03-31,44.0,$-1.52,0.0
2021-12-31,37.73,$-4.18,0.0
2021-09-30,31.36,$-3.54,0.0
2021-06-30,28.51,$-4.96,0.0
2021-03-31,27.91,$-5.68,0.0
2020-12-31,26.68,$-3.86,0.0
2020-09-30,22.4,$-2.12,0.0
2020-06-30,22.5,$-1.03,0.0
2020-03-31,22.59,$-0.71,0.0
2019-12-31,27.76,$-0.59,0.0
2019-09-30,29.18,$0.03,926.3
2019-06-30,28.72,$0.34,83.47
2019-03-31,29.81,$0.64,46.46
2018-12-31,26.62,$1.18,22.61
2018-09-30,25.58,$1.08,23.68
2018-06-30,24.76,$1.07,23.21
2018-03-31,22.48,$0.79,28.31
2017-12-31,22.5,$0.12,185.62
2017-09-30,21.34,$-0.81,0.0
2017-06-30,20.26,$-0.94,0.0
2017-03-31,20.01,$-0.23,0.0
2016-12-31,19.55,$-0.03,0.0
2016-09-30,18.15,$0.87,20.84
2016-06-30,19.65,$-0.48,0.0
2016-03-31,19.2,$-0.46,0.0
2015-12-31,14.72,$0.16,94.57
2015-09-30,15.58,$-1.68,0.0
2015-06-30,16.33,$-0.29,0.0
2015-03-31,17.3,$-0.85,0.0
2014-12-31,18.92,$-1.88,0.0
2014-09-30,17.24,$0.69,24.82
2014-06-30,18.27,$0.48,38.39
2014-03-31,16.66,$0.59,28.28
2013-12-31,13.45,$1.10,12.21
2013-09-30,14.4,$1.02,14.16
2013-06-30,14.85,$0.77,19.35
2013-03-31,16.44,$0.89,18.41
2012-12-31,13.94,$0.87,16.01
2012-09-30,16.39,$1.78,9.19
2012-06-30,17.09,$2.58,6.62
2012-03-31,17.64,$2.55,6.91
2011-12-31,19.19,$1.22,15.73
2011-09-30,18.63,$0.20,92.79
2011-06-30,18.5,$0.24,76.05
2011-03-31,17.59,$-0.64,0.0
2010-12-31,17.54,$2.89,6.06
2010-09-30,17.7,$3.28,5.4
2010-06-30,15.59,$3.02,5.16
2010-03-31,17.77,$3.87,4.59
2009-12-31,19.58,$4.26,4.6
