AstraZeneca Price to Free Cash Flow Ratio Historical Data,AstraZeneca Price to Free Cash Flow Ratio Historical Data,AstraZeneca Price to Free Cash Flow Ratio Historical Data,AstraZeneca Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-06-21,78.88,,29.96
2024-03-31,67.75,$2.63,25.73
2023-12-31,66.33,$2.92,22.73
2023-09-30,66.7,$3.06,21.8
2023-06-30,70.02,$3.03,23.12
2023-03-31,67.91,$2.88,23.55
2022-12-31,65.38,$2.88,22.67
2022-09-30,52.88,$2.60,20.36
2022-06-30,63.26,$2.12,29.9
2022-03-31,63.52,$2.03,31.36
2021-12-31,54.84,$1.71,32.04
2021-09-30,56.54,$1.83,30.95
2021-06-30,55.96,$2.05,27.31
2021-03-31,46.45,$2.17,21.39
2020-12-31,45.81,$1.50,30.5
2020-09-30,50.22,$1.35,37.16
2020-06-30,48.08,$1.08,44.43
2020-03-31,40.6,$0.97,41.8
2019-12-31,44.39,$0.78,56.98
2019-09-30,39.68,$1.12,35.38
2019-06-30,36.38,$0.87,41.65
2019-03-31,35.63,$0.55,64.24
2018-12-31,32.72,$0.63,52.25
2018-09-30,34.09,$0.09,385.23
2018-06-30,29.91,$0.77,39.03
2018-03-31,29.79,$0.86,34.71
2017-12-31,28.76,$0.92,31.18
2017-09-30,28.08,$1.28,21.88
2017-06-30,27.83,$0.72,38.54
2017-03-31,25.42,$0.66,38.7
2016-12-31,21.59,$1.10,19.66
2016-09-30,25.97,$0.58,44.79
2016-06-30,23.54,$0.91,25.74
2016-03-31,21.96,$1.29,17.03
2015-12-31,25.66,$0.81,31.78
2015-09-30,24.05,$1.33,18.1
2015-06-30,23.76,$1.47,16.19
2015-03-31,25.52,$1.92,13.3
2014-12-31,25.53,$2.45,10.4
2014-09-30,25.91,$2.72,9.54
2014-06-30,26.61,$2.44,10.91
2014-03-31,23.23,$2.27,10.25
2013-12-31,20.66,$2.68,7.7
2013-09-30,18.07,$2.87,6.3
2013-06-30,16.17,$2.94,5.49
2013-03-31,17.09,$2.80,6.11
2012-12-31,15.52,$2.56,6.06
2012-09-30,15.71,$2.67,5.88
2012-06-30,14.41,$2.85,5.06
2012-03-31,14.33,$2.67,5.38
2011-12-31,14.29,$2.69,5.31
2011-09-30,13.7,$2.73,5.03
2011-06-30,15.17,$3.07,4.94
2011-03-31,13.97,$3.57,3.92
2010-12-31,13.47,$3.50,3.85
2010-09-30,14.79,$3.76,3.93
2010-06-30,13.56,$3.36,4.04
2010-03-31,12.87,$3.60,3.58
2009-12-31,13.01,$3.75,3.47
