Moderna Price to Free Cash Flow Ratio Historical Data,Moderna Price to Free Cash Flow Ratio Historical Data,Moderna Price to Free Cash Flow Ratio Historical Data,Moderna Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-06-21,133.4,,0.0
2024-03-31,106.56,$-9.81,0.0
2023-12-31,99.45,$-10.01,0.0
2023-09-30,103.29,$-7.39,0.0
2023-06-30,121.5,$-2.31,0.0
2023-03-31,153.58,$1.53,100.23
2022-12-31,179.62,$11.01,16.31
2022-09-30,118.25,$14.87,7.95
2022-06-30,142.85,$21.57,6.62
2022-03-31,172.26,$30.29,5.69
2021-12-31,253.98,$30.94,8.21
2021-09-30,384.86,$26.70,14.41
2021-06-30,234.98,$21.72,10.82
2021-03-31,130.95,$12.29,10.66
2020-12-31,104.47,$5.14,20.32
2020-09-30,70.75,$1.50,47.15
2020-06-30,64.21,$-1.07,0.0
2020-03-31,29.95,$-1.34,0.0
2019-12-31,19.56,$-1.48,0.0
2019-09-30,15.92,$-6.55,0.0
