KLA Price to Free Cash Flow Ratio Historical Data,KLA Price to Free Cash Flow Ratio Historical Data,KLA Price to Free Cash Flow Ratio Historical Data,KLA Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-06-21,816.55,,36.62
2024-03-31,697.19,$22.30,31.27
2023-12-31,578.86,$23.05,25.12
2023-09-30,455.52,$23.19,19.65
2023-06-30,480.43,$24.27,19.79
2023-03-31,394.07,$23.27,16.94
2022-12-31,370.99,$21.15,17.54
2022-09-30,296.76,$21.86,13.57
2022-06-30,311.83,$20.01,15.58
2022-03-31,356.63,$17.57,20.3
2021-12-31,417.84,$16.63,25.13
2021-09-30,324.15,$14.95,21.69
2021-06-30,313.16,$12.69,24.68
2021-03-31,318.21,$12.63,25.2
2020-12-31,248.67,$11.32,21.98
2020-09-30,185.37,$10.32,17.96
2020-06-30,185.29,$10.29,18.0
2020-03-31,136.25,$9.46,14.41
2019-12-31,168.04,$7.63,22.02
2019-09-30,149.67,$7.11,21.06
2019-06-30,110.32,$6.51,16.94
2019-03-31,110.69,$7.01,15.79
2018-12-31,82.38,$8.39,9.82
2018-09-30,92.89,$3.06,30.4
2018-06-30,93.03,$3.63,25.6
2018-03-31,98.26,$2.77,35.51
2017-12-31,94.19,$2.01,46.91
2017-06-30,81.03,$6.63,12.22
2017-03-31,83.73,$6.17,13.57
2016-12-31,68.87,$7.08,9.72
2016-09-30,60.58,$6.38,9.5
2016-06-30,63.17,$5.97,10.58
2017-09-30,94.48,$4.73,19.97
2016-03-31,62.32,$4.34,14.37
2015-12-31,58.87,$5.10,11.55
2015-09-30,42.11,$4.47,9.41
2015-06-30,46.87,$3.42,13.7
2015-03-31,48.2,$2.97,16.23
2014-12-31,57.7,$2.85,20.24
2014-09-30,51.59,$3.46,14.9
2014-06-30,47.25,$4.25,11.11
2014-03-31,44.65,$3.76,11.89
2013-12-31,41.34,$4.79,8.63
2013-09-30,38.74,$4.56,8.49
2013-06-30,35.21,$4.97,7.09
2013-03-31,33.08,$5.55,5.96
2012-12-31,29.74,$4.65,6.39
2012-09-30,29.44,$5.32,5.54
2012-06-30,30.17,$5.21,5.79
2012-03-31,33.1,$5.33,6.21
2011-12-31,29.15,$5.21,5.59
2011-09-30,22.95,$5.36,4.28
2011-06-30,24.04,$4.64,5.18
2011-03-31,27.94,$3.46,8.08
2010-12-31,22.7,$2.81,8.07
2010-09-30,20.56,$2.54,8.09
2010-06-30,16.13,$2.45,6.59
2010-03-31,17.81,$2.41,7.38
2009-12-31,20.72,$2.46,8.42
