Microchip Technology Price to Free Cash Flow Ratio Historical Data,Microchip Technology Price to Free Cash Flow Ratio Historical Data,Microchip Technology Price to Free Cash Flow Ratio Historical Data,Microchip Technology Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-06-21,91.58,,19.24
2024-03-31,89.29,$4.76,18.76
2023-12-31,89.28,$5.11,17.45
2023-09-30,76.86,$5.71,13.46
2023-06-30,87.78,$5.95,14.76
2023-03-31,81.68,$5.63,14.52
2022-12-31,68.2,$5.70,11.96
2022-09-30,58.98,$4.98,11.84
2022-06-30,55.9,$4.71,11.86
2022-03-31,72.02,$4.39,16.39
2021-12-31,83.15,$4.05,20.52
2021-09-30,73.09,$3.55,20.59
2021-06-30,71.09,$3.39,20.95
2021-03-31,73.49,$3.39,21.71
2020-12-31,65.23,$3.32,19.64
2020-09-30,48.4,$3.21,15.09
2020-06-30,49.42,$3.14,15.74
2020-03-31,31.69,$2.89,10.98
2019-12-31,48.79,$2.84,17.17
2019-09-30,43.11,$3.09,13.97
2019-06-30,40.06,$3.17,12.62
2019-03-31,38.16,$2.89,13.19
2018-12-31,32.95,$2.70,12.2
2018-09-30,35.97,$2.45,14.66
2018-06-30,41.28,$2.21,18.64
2018-03-31,41.3,$2.46,16.81
2017-12-31,39.56,$2.66,14.87
2017-09-30,40.25,$1.52,26.53
2017-06-30,34.45,$2.33,14.79
2017-03-31,32.79,$2.14,15.29
2016-12-31,28.36,$1.88,15.05
2016-09-30,27.32,$2.78,9.82
2016-06-30,22.19,$1.66,13.38
2016-03-31,20.91,$1.52,13.76
2015-12-31,20.02,$1.42,14.08
2015-09-30,18.4,$1.29,14.3
2015-06-30,20.09,$1.35,14.88
2015-03-31,20.56,$1.28,16.08
2014-12-31,18.83,$1.34,14.03
2014-09-30,19.56,$1.28,15.27
2014-06-30,20.06,$1.23,16.25
2014-03-31,19.48,$1.33,14.62
2013-12-31,18.11,$1.21,15.01
2013-09-30,16.17,$1.23,13.19
2013-06-30,14.81,$1.07,13.86
2013-03-31,14.48,$0.99,14.58
2012-12-31,12.72,$1.00,12.67
2012-09-30,12.63,$0.82,15.32
2012-06-30,12.63,$1.01,12.46
2012-03-31,14.05,$0.86,16.34
2011-12-31,13.7,$0.91,14.98
2011-09-30,11.52,$1.05,10.99
2011-06-30,13.89,$1.05,13.19
2011-03-31,13.8,$1.18,11.73
2010-12-31,12.42,$1.08,11.5
2010-09-30,11.19,$1.05,10.7
2010-06-30,9.76,$1.04,9.38
2010-03-31,9.79,$1.08,9.07
2009-12-31,9.97,$1.39,7.16
