ASML Holding Price to Free Cash Flow Ratio Historical Data,ASML Holding Price to Free Cash Flow Ratio Historical Data,ASML Holding Price to Free Cash Flow Ratio Historical Data,ASML Holding Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-06-21,1036.6,,156.22
2024-03-31,968.5,$6.64,145.95
2023-12-31,754.07,$9.03,83.52
2023-09-30,584.98,$15.08,38.8
2023-06-30,718.6,$15.21,47.25
2023-03-31,672.96,$21.93,30.69
2022-12-31,538.98,$19.07,28.26
2022-09-30,408.47,$23.56,17.34
2022-06-30,466.89,$26.24,17.79
2022-03-31,646.83,$29.64,21.82
2021-12-31,770.99,$28.67,26.89
2021-09-30,719.72,$22.95,31.37
2021-06-30,667.3,$18.23,36.6
2021-03-31,594.63,$8.92,66.69
2020-12-31,469.76,$9.99,47.02
2020-09-30,354.32,$6.72,52.72
2020-06-30,353.13,$6.60,53.48
2020-03-31,249.8,$6.15,40.61
2019-12-31,282.55,$6.67,42.38
2019-09-30,236.17,$1.99,118.51
2019-06-30,197.67,$3.23,61.17
2019-03-31,176.77,$5.06,34.96
2018-12-31,146.29,$6.92,21.14
2018-09-30,176.75,$5.16,34.27
2018-06-30,186.1,$5.08,36.62
2018-03-31,185.02,$4.51,41.02
2017-12-31,161.97,$3.82,42.37
2017-09-30,159.53,$4.39,36.38
2017-06-30,121.43,$3.32,36.57
2017-03-31,122.53,$3.14,39.04
2016-12-31,103.52,$3.49,29.65
2016-09-30,101.11,$2.87,35.19
2016-06-30,91.54,$3.93,23.28
2016-03-31,91.46,$3.44,26.62
2015-12-31,80.87,$4.24,19.05
2015-09-30,80.15,$2.80,28.6
2015-06-30,94.86,$2.80,33.85
2015-03-31,91.39,$2.69,34.01
2014-12-31,97.54,$3.37,28.99
2014-06-30,84.37,$2.20,38.27
2014-03-31,83.59,$3.18,26.31
2013-12-31,83.89,$2.51,33.38
2013-09-30,88.42,$-1.32,0.0
2013-06-30,70.83,$1.52,46.52
2013-03-31,60.31,$-0.20,0.0
2012-12-31,57.12,$1.50,38.04
2012-09-30,49.61,$4.37,11.34
2012-06-30,47.52,$3.12,15.23
2012-03-31,45.79,$5.25,8.71
2011-12-31,38.16,$8.06,4.73
2011-09-30,31.54,$8.56,3.69
2011-06-30,33.75,$9.18,3.68
2011-03-31,40.07,$7.57,5.29
2010-12-31,34.53,$3.47,9.94
2010-09-30,26.77,$2.65,10.11
2010-06-30,24.74,$0.51,48.27
2010-03-31,31.88,$-0.02,0.0
2009-12-31,30.49,$-0.00,0.0
