Fastenal Price to Free Cash Flow Ratio Historical Data,Fastenal Price to Free Cash Flow Ratio Historical Data,Fastenal Price to Free Cash Flow Ratio Historical Data,Fastenal Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-06-21,65.34,,31.17
2024-03-31,76.7,$2.10,36.59
2023-12-31,64.03,$2.22,28.84
2023-09-30,53.36,$2.11,25.28
2023-06-30,57.26,$1.88,30.42
2023-03-31,52.01,$1.64,31.79
2022-12-31,45.32,$1.35,33.51
2022-09-30,43.81,$1.10,39.77
2022-06-30,47.19,$0.94,50.29
2022-03-31,55.84,$0.99,56.19
2021-12-31,59.9,$1.08,55.58
2021-09-30,48.02,$1.36,35.25
2021-06-30,48.13,$1.60,30.09
2021-03-31,46.29,$1.73,26.8
2020-12-31,44.69,$1.64,27.24
2020-09-30,40.7,$1.49,27.31
2020-06-30,38.46,$1.39,27.75
2020-03-31,27.86,$1.12,24.83
2019-12-31,32.72,$1.05,31.17
2019-09-30,28.76,$0.89,32.32
2019-06-30,28.49,$0.81,35.34
2019-03-31,27.94,$0.92,30.32
2018-12-31,22.56,$0.88,25.53
2018-09-30,24.83,$0.87,28.57
2018-06-30,20.46,$0.85,24.01
2018-03-31,23.03,$0.72,32.14
2017-12-31,22.92,$0.82,27.96
2017-09-30,18.97,$0.85,22.45
2017-06-30,17.99,$0.71,25.38
2017-03-31,21.13,$0.67,31.32
2016-12-31,19.15,$0.58,32.88
2016-09-30,16.9,$0.59,28.52
2016-06-30,17.83,$0.68,26.22
2016-03-31,19.55,$0.70,27.98
2015-12-31,16.16,$0.69,23.3
2015-09-30,14.39,$0.70,20.46
2015-06-30,16.46,$0.62,26.58
2015-03-31,16.07,$0.58,27.89
2014-12-31,18.33,$0.53,34.51
2014-09-30,17.2,$0.39,43.69
2014-06-30,18.85,$0.37,51.36
2014-03-31,18.68,$0.37,50.47
2013-12-31,17.9,$0.36,49.68
2013-09-30,18.85,$0.39,47.84
2013-06-30,17.07,$0.41,41.32
2013-03-31,19.06,$0.44,43.04
2012-12-31,17.29,$0.44,39.16
2012-09-30,15.67,$0.42,37.31
2012-06-30,14.62,$0.42,35.23
2012-03-31,19.56,$0.34,57.07
2011-12-31,15.71,$0.26,61.14
2011-09-30,11.94,$0.25,47.37
2011-06-30,12.86,$0.22,59.12
2011-03-31,11.54,$0.26,44.37
2010-12-31,10.58,$0.29,36.41
2010-09-30,9.32,$0.28,32.73
2010-06-30,8.72,$0.35,24.65
2010-03-31,8.34,$0.43,19.48
2009-12-31,7.17,$0.44,16.46
