Broadcom Price to Free Cash Flow Ratio Historical Data,Broadcom Price to Free Cash Flow Ratio Historical Data,Broadcom Price to Free Cash Flow Ratio Historical Data,Broadcom Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-06-21,1658.63,,40.58
2024-04-30,1300.27,$40.87,31.81
2024-01-31,1175.16,$42.18,27.86
2023-10-31,834.08,$41.30,20.2
2023-07-31,885.96,$41.24,21.48
2023-04-30,614.32,$40.24,15.27
2023-01-31,569.52,$39.84,14.3
2022-10-31,453.87,$38.56,11.77
2022-07-31,512.62,$35.61,14.4
2022-04-30,526.43,$33.83,15.56
2022-01-31,552.57,$31.93,17.3
2021-10-31,498.28,$31.05,16.05
2021-07-31,451.6,$30.74,14.69
2021-04-30,421.17,$29.91,14.08
2021-01-31,412.78,$29.28,14.1
2020-10-31,317.72,$27.55,11.53
2020-07-31,285.21,$25.48,11.19
2020-04-30,241.98,$24.14,10.02
2020-01-31,267.33,$22.74,11.76
2019-10-31,253.96,$22.32,11.38
2019-07-31,249.16,$22.84,10.91
2019-04-30,270.95,$21.98,12.33
2019-01-31,226.21,$10.47,21.61
2018-10-31,186.49,$11.24,16.59
2018-07-31,183.71,$8.17,22.48
2018-04-30,188.78,$6.20,30.45
2017-10-31,214.21,$14.07,15.23
2017-07-31,199.4,$11.48,17.37
2017-04-30,177.74,$12.36,14.38
2017-01-31,159.85,$11.11,14.39
2016-10-31,135.66,$9.54,14.22
2018-01-31,202.65,$7.66,26.47
2016-07-31,128.67,$5.62,22.89
2016-04-30,115.41,$5.40,21.39
2016-01-31,105.53,$6.44,16.37
2015-10-31,96.88,$6.53,14.84
2015-07-31,98.15,$5.16,19.01
2015-04-30,91.41,$4.55,20.09
2015-01-31,80.23,$3.42,23.49
2014-10-31,67.02,$2.87,23.36
2014-07-31,53.72,$2.89,18.57
2014-04-30,48.97,$2.27,21.55
2014-01-31,41.96,$2.15,19.49
2013-10-31,34.72,$1.93,18.0
2013-07-31,27.87,$1.88,14.81
2013-04-30,24.15,$1.85,13.04
2013-01-31,26.89,$1.91,14.08
2012-10-31,24.7,$1.81,13.66
2012-07-31,27.47,$1.87,14.66
2012-04-30,25.55,$2.36,10.84
2012-01-31,25.07,$2.66,9.41
2011-10-31,24.84,$2.44,10.19
2011-07-31,24.66,$2.57,9.61
2011-04-30,24.47,$2.30,10.64
2011-01-31,20.94,$1.77,11.84
2010-10-31,17.95,$1.76,10.2
2010-07-31,15.83,$1.37,11.55
