Lam Research Price to Free Cash Flow Ratio Historical Data,Lam Research Price to Free Cash Flow Ratio Historical Data,Lam Research Price to Free Cash Flow Ratio Historical Data,Lam Research Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-06-21,1050.35,,89.75
2024-03-31,969.79,$11.70,82.86
2023-12-31,780.18,$9.09,85.87
2023-06-30,636.64,$34.43,18.49
2023-03-31,523.55,$38.43,13.62
2022-12-31,413.64,$33.02,12.53
2022-09-30,358.9,$30.30,11.84
2022-06-30,416.18,$31.87,13.06
2023-09-30,622.61,$22.53,27.64
2022-03-31,523.29,$25.06,20.88
2021-12-31,697.83,$28.05,24.87
2021-09-30,551.06,$20.60,26.75
2021-06-30,628.49,$22.29,28.2
2021-03-31,573.76,$18.26,31.42
2020-12-31,454.15,$14.14,32.13
2020-09-30,318.21,$14.02,22.7
2020-06-30,309.07,$12.90,23.96
2020-03-31,228.46,$12.76,17.91
2019-12-31,276.96,$15.03,18.43
2019-09-30,217.98,$16.76,13.0
2019-06-30,176.29,$17.96,9.81
2019-03-31,167.03,$16.52,10.11
2018-12-31,126.29,$15.98,7.91
2018-09-30,139.66,$12.85,10.87
2018-06-30,158.02,$13.18,11.99
2018-03-31,184.72,$13.53,13.65
2017-12-31,166.96,$10.45,15.98
2017-09-30,167.38,$7.37,22.71
2017-06-30,127.59,$5.59,22.83
2017-03-31,115.48,$2.54,45.48
2016-12-31,94.76,$2.06,45.98
2016-06-30,74.77,$7.16,10.44
2016-03-31,73.21,$5.53,13.25
2015-12-31,70.11,$7.14,9.82
2015-09-30,57.45,$6.50,8.84
2015-06-30,71.23,$4.77,14.92
2016-09-30,84.52,$4.41,19.15
2015-03-31,61.27,$3.92,15.62
2014-12-31,69.06,$4.48,15.42
2014-09-30,64.88,$4.57,14.2
2014-06-30,58.55,$4.17,14.04
2014-03-31,47.52,$2.95,16.08
2013-12-31,47.05,$1.96,23.96
2013-09-30,44.24,$2.26,19.54
2013-06-30,38.31,$3.23,11.87
2013-03-31,35.82,$2.92,12.26
2012-12-31,31.22,$3.44,9.07
2012-09-30,27.46,$3.70,7.41
2012-06-30,32.61,$3.15,10.35
2012-03-31,38.55,$4.08,9.44
2011-12-31,31.99,$4.74,6.75
2011-09-30,32.82,$4.72,6.95
2011-06-30,38.26,$6.04,6.33
2011-03-31,48.96,$5.92,8.27
2010-12-31,44.74,$5.06,8.84
2010-09-30,36.16,$5.32,6.79
2010-06-30,32.88,$2.92,11.24
2010-03-31,32.25,$1.28,25.15
2009-12-31,33.88,$0.49,68.96
