ON Semiconductor Price to Free Cash Flow Ratio Historical Data,ON Semiconductor Price to Free Cash Flow Ratio Historical Data,ON Semiconductor Price to Free Cash Flow Ratio Historical Data,ON Semiconductor Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-06-21,68.52,,48.09
2024-03-31,73.55,$1.42,51.62
2023-12-31,83.53,$0.99,84.36
2023-09-30,92.95,$1.40,66.27
2023-06-30,94.58,$2.70,35.03
2023-03-31,82.32,$3.13,26.3
2022-12-31,62.37,$3.70,16.88
2022-09-30,62.33,$3.75,16.63
2022-06-30,50.31,$2.90,17.36
2022-03-31,62.61,$3.39,18.49
2021-12-31,67.92,$2.94,23.12
2021-09-30,45.77,$2.65,17.25
2021-06-30,38.28,$2.12,18.03
2021-03-31,41.61,$1.45,28.78
2020-12-31,32.73,$1.22,26.92
2020-09-30,21.69,$0.48,44.82
2020-06-30,19.82,$0.56,35.33
2020-03-31,12.44,$0.56,22.33
2019-12-31,24.38,$0.40,60.87
2019-09-30,19.21,$1.20,16.05
2019-06-30,20.21,$1.43,14.14
2019-03-31,20.57,$1.49,13.77
2018-12-31,16.51,$1.84,9.0
2018-09-30,18.43,$1.21,15.27
2018-06-30,22.24,$1.20,18.53
2018-03-31,24.46,$1.57,15.57
2017-12-31,20.94,$1.66,12.58
2017-09-30,18.47,$1.96,9.43
2017-06-30,14.04,$1.64,8.57
2017-03-31,15.49,$1.14,13.62
2016-12-31,12.76,$0.88,14.54
2016-09-30,12.32,$0.66,18.6
2016-06-30,8.82,$0.60,14.82
2016-03-31,9.59,$0.53,18.03
2015-12-31,9.8,$0.49,20.01
2015-09-30,9.4,$0.56,16.67
2015-06-30,11.69,$0.46,25.18
2015-03-31,12.11,$0.63,19.12
2014-12-31,10.13,$0.63,15.98
2014-09-30,8.94,$0.59,15.08
2014-06-30,9.14,$0.55,16.47
2014-03-31,9.4,$0.34,27.26
2013-12-31,8.24,$0.40,20.57
2013-09-30,7.31,$0.34,21.54
2013-06-30,8.08,$0.17,48.53
2013-03-31,8.28,$0.13,61.75
2012-12-31,7.05,$0.06,123.25
2012-09-30,6.18,$0.11,55.53
2012-06-30,7.1,$0.34,20.74
2012-03-31,9.01,$0.47,19.15
2011-12-31,7.72,$0.51,15.19
2011-09-30,7.18,$0.62,11.61
2011-06-30,10.47,$0.70,14.95
2011-03-31,9.86,$0.83,11.94
2010-12-31,9.88,$0.90,10.98
2010-09-30,7.21,$0.78,9.26
2010-06-30,6.38,$0.79,8.07
2010-03-31,8.0,$0.65,12.29
2009-12-31,8.82,$0.51,17.26
