Apple Price to Free Cash Flow Ratio Historical Data,Apple Price to Free Cash Flow Ratio Historical Data,Apple Price to Free Cash Flow Ratio Historical Data,Apple Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-06-21,207.49,,31.75
2024-03-31,171.25,$6.54,26.2
2023-12-31,192.02,$6.81,28.19
2023-09-30,170.54,$6.30,27.08
2023-06-30,192.95,$6.34,30.46
2023-03-31,163.81,$6.10,26.87
2022-12-31,128.87,$6.05,21.31
2022-09-30,136.85,$6.83,20.05
2022-06-30,135.19,$6.56,20.62
2022-03-31,172.41,$6.40,26.93
2021-12-31,175.11,$6.12,28.59
2021-09-30,139.33,$5.51,25.28
2021-06-30,134.66,$5.58,24.13
2021-03-31,119.9,$5.29,22.67
2020-12-31,130.05,$4.65,27.96
2020-09-30,113.31,$4.19,27.07
2020-06-30,89.07,$4.03,22.09
2020-03-31,61.92,$3.72,16.64
2019-12-31,71.33,$3.54,20.15
2019-09-30,54.25,$3.17,17.13
2019-06-30,47.75,$3.06,15.62
2019-03-31,45.65,$3.12,14.64
2018-12-31,37.75,$3.19,11.82
2018-09-30,53.83,$3.21,16.79
2018-06-30,43.99,$2.98,14.78
2018-03-31,39.72,$2.67,14.88
2017-12-31,39.9,$2.58,15.47
2017-09-30,36.21,$2.46,14.69
2017-06-30,33.7,$2.47,13.66
2017-03-31,33.48,$2.53,13.24
2016-12-31,26.87,$2.49,10.81
2016-09-30,26.1,$2.43,10.73
2016-06-30,21.95,$2.29,9.6
2016-03-31,24.87,$2.49,9.98
2015-12-31,23.89,$2.79,8.56
2015-09-30,24.85,$3.02,8.22
2015-06-30,28.22,$2.97,9.5
2015-03-31,27.88,$2.74,10.19
2014-12-31,24.64,$2.52,9.76
2014-09-30,22.39,$2.05,10.94
2014-06-30,20.55,$1.98,10.4
2014-03-31,16.86,$1.88,8.95
2013-12-31,17.52,$1.77,9.91
2013-09-30,14.8,$1.74,8.49
2013-06-30,12.23,$1.67,7.33
2013-03-31,13.56,$1.71,7.91
2012-12-31,16.21,$1.79,9.07
2012-09-30,20.23,$1.61,12.58
2012-06-30,17.63,$1.73,10.21
2012-03-31,18.1,$1.82,9.97
2011-12-31,12.23,$1.56,7.86
2011-09-30,11.51,$1.27,9.08
2011-06-30,10.13,$1.12,9.02
2011-03-31,10.52,$0.89,11.79
2010-12-31,9.74,$0.76,12.84
2010-09-30,8.57,$0.64,13.37
2010-06-30,7.59,$0.55,13.7
2010-03-31,7.1,$0.47,15.03
2009-12-31,6.36,$0.56,11.26
